language,total,large files,small p/ language,small proportion,small files,files available,files missing
Python,1196.0,13.0,8935.0,0.010869565217391304,98.0,1183.0,0.0
C,147.0,1.0,8977.0,0.006802721088435374,62.0,146.0,0.0
C,24.0,1.0,8977.0,0.041666666666666664,375.0,23.0,352.0
C,1167.0,20.0,8977.0,0.01713796058269066,154.0,1147.0,0.0
C++,730.0,3.0,8461.0,0.00410958904109589,35.0,727.0,0.0
C,240.0,2.0,8977.0,0.008333333333333333,75.0,238.0,0.0
Ruby,4.0,1.0,9419.0,0.25,2355.0,3.0,2352.0
C,258.0,1.0,8977.0,0.003875968992248062,35.0,257.0,0.0
C#,1670.0,1.0,9511.0,0.0005988023952095808,6.0,1669.0,0.0
JavaScript,115.0,1.0,9976.0,0.008695652173913044,87.0,114.0,0.0
C#,188.0,1.0,9511.0,0.005319148936170213,51.0,187.0,0.0
C#,1324.0,53.0,9511.0,0.04003021148036254,381.0,1271.0,0.0
C#,9751.0,25.0,9511.0,0.0025638396061942363,25.0,9726.0,0.0
Java,91.0,2.0,9686.0,0.02197802197802198,213.0,89.0,124.0
JavaScript,132.0,11.0,9976.0,0.08333333333333333,832.0,121.0,711.0
TypeScript,154.0,2.0,9508.0,0.012987012987012988,124.0,152.0,0.0
C#,961.0,1.0,9511.0,0.001040582726326743,10.0,960.0,0.0
C#,1763.0,4.0,9511.0,0.0022688598979013048,22.0,1759.0,0.0
C#,792.0,10.0,9511.0,0.012626262626262626,121.0,782.0,0.0
C#,4108.0,10.0,9511.0,0.0024342745861733205,24.0,4098.0,0.0
C#,3459.0,8.0,9511.0,0.0023128071697022263,22.0,3451.0,0.0
JavaScript,24.0,2.0,9976.0,0.08333333333333333,832.0,22.0,810.0
C#,615.0,2.0,9511.0,0.0032520325203252032,31.0,613.0,0.0
C#,10267.0,5.0,9511.0,0.00048699717541638256,5.0,10262.0,0.0
C#,1285.0,10.0,9511.0,0.007782101167315175,75.0,1275.0,0.0
C#,399.0,1.0,9511.0,0.002506265664160401,24.0,398.0,0.0
C#,12969.0,421.0,9511.0,0.03246202482843704,309.0,12548.0,0.0
C#,922.0,1.0,9511.0,0.0010845986984815619,11.0,921.0,0.0
C#,154.0,1.0,9511.0,0.006493506493506494,62.0,153.0,0.0
C,1164.0,23.0,8977.0,0.019759450171821305,178.0,1141.0,0.0
C#,30307.0,351.0,9511.0,0.011581482825749827,111.0,29956.0,0.0
C++,1924.0,55.0,8461.0,0.028586278586278588,242.0,1869.0,0.0
Python,54.0,1.0,8935.0,0.018518518518518517,166.0,53.0,113.0
Swift,9.0,3.0,7649.0,0.3333333333333333,2550.0,6.0,2544.0
TypeScript,112.0,3.0,9508.0,0.026785714285714284,255.0,109.0,146.0
C++,9515.0,42.0,8461.0,0.00441408302679979,38.0,9473.0,0.0
Go,41.0,1.0,9017.0,0.024390243902439025,220.0,40.0,180.0
Python,3187.0,52.0,8935.0,0.01631628490743646,146.0,3135.0,0.0
Java,322.0,6.0,9686.0,0.018633540372670808,181.0,316.0,0.0
JavaScript,1817.0,30.0,9976.0,0.01651073197578426,165.0,1787.0,0.0
Kotlin,609.0,4.0,9287.0,0.006568144499178982,61.0,605.0,0.0
Ruby,119.0,1.0,9419.0,0.008403361344537815,80.0,118.0,0.0
TypeScript,117.0,1.0,9508.0,0.008547008547008548,82.0,116.0,0.0
C++,353.0,1.0,8461.0,0.0028328611898017,24.0,352.0,0.0
TypeScript,217.0,13.0,9508.0,0.059907834101382486,570.0,204.0,366.0
C++,522.0,2.0,8461.0,0.0038314176245210726,33.0,520.0,0.0
C,710.0,14.0,8977.0,0.01971830985915493,178.0,696.0,0.0
C++,1949.0,45.0,8461.0,0.023088763468445357,196.0,1904.0,0.0
Java,189.0,5.0,9686.0,0.026455026455026454,257.0,184.0,73.0
JavaScript,26.0,1.0,9976.0,0.038461538461538464,384.0,25.0,359.0
Kotlin,32.0,1.0,9287.0,0.03125,291.0,31.0,260.0
Python,216.0,1.0,8935.0,0.004629629629629629,42.0,215.0,0.0
C,24.0,2.0,8977.0,0.08333333333333333,749.0,22.0,727.0
C++,786.0,2.0,8461.0,0.002544529262086514,22.0,784.0,0.0
C,542.0,3.0,8977.0,0.005535055350553505,50.0,539.0,0.0
C++,1843.0,13.0,8461.0,0.00705371676614216,60.0,1830.0,0.0
Java,198.0,4.0,9686.0,0.020202020202020204,196.0,194.0,2.0
Python,363.0,1.0,8935.0,0.0027548209366391185,25.0,362.0,0.0
Swift,31.0,3.0,7649.0,0.0967741935483871,741.0,28.0,713.0
C++,1317.0,41.0,8461.0,0.031131359149582385,264.0,1276.0,0.0
Swift,18804.0,117.0,7649.0,0.00622208040842374,48.0,18687.0,0.0
C,120.0,2.0,8977.0,0.016666666666666666,150.0,118.0,32.0
C#,208.0,14.0,9511.0,0.0673076923076923,641.0,194.0,447.0
C++,457.0,5.0,8461.0,0.010940919037199124,93.0,452.0,0.0
Java,273.0,23.0,9686.0,0.08424908424908426,817.0,250.0,567.0
Kotlin,21.0,2.0,9287.0,0.09523809523809523,885.0,19.0,866.0
Objective-C,76.0,15.0,6110.0,0.19736842105263158,1206.0,61.0,1145.0
PHP,149.0,3.0,8926.0,0.020134228187919462,180.0,146.0,34.0
Python,100.0,3.0,8935.0,0.03,269.0,97.0,172.0
Ruby,56.0,2.0,9419.0,0.03571428571428571,337.0,54.0,283.0
C++,335.0,1.0,8461.0,0.0029850746268656717,26.0,334.0,0.0
C,11.0,4.0,8977.0,0.36363636363636365,3265.0,7.0,3258.0
C++,118.0,4.0,8461.0,0.03389830508474576,287.0,114.0,173.0
JavaScript,15.0,2.0,9976.0,0.13333333333333333,1331.0,13.0,1318.0
Objective-C,1.0,1.0,6110.0,1.0,6110.0,0.0,6110.0
C++,46.0,4.0,8461.0,0.08695652173913043,736.0,42.0,694.0
Kotlin,126.0,1.0,9287.0,0.007936507936507936,74.0,125.0,0.0
C,4.0,1.0,8977.0,0.25,2245.0,3.0,2242.0
C++,1660.0,2.0,8461.0,0.0012048192771084338,11.0,1658.0,0.0
Objective-C,77.0,1.0,6110.0,0.012987012987012988,80.0,76.0,4.0
Python,1375.0,2.0,8935.0,0.0014545454545454545,13.0,1373.0,0.0
Ruby,179.0,4.0,9419.0,0.0223463687150838,211.0,175.0,36.0
Swift,7.0,1.0,7649.0,0.14285714285714285,1093.0,6.0,1087.0
C,109.0,3.0,8977.0,0.027522935779816515,248.0,106.0,142.0
C++,4037.0,12.0,8461.0,0.002972504334902155,26.0,4025.0,0.0
Python,896.0,8.0,8935.0,0.008928571428571428,80.0,888.0,0.0
C++,186.0,1.0,8461.0,0.005376344086021506,46.0,185.0,0.0
Python,39.0,1.0,8935.0,0.02564102564102564,230.0,38.0,192.0
C++,106.0,2.0,8461.0,0.018867924528301886,160.0,104.0,56.0
C++,231.0,6.0,8461.0,0.025974025974025976,220.0,225.0,0.0
C++,307.0,1.0,8461.0,0.003257328990228013,28.0,306.0,0.0
JavaScript,175.0,2.0,9976.0,0.011428571428571429,115.0,173.0,0.0
C++,3624.0,4.0,8461.0,0.0011037527593818985,10.0,3620.0,0.0
JavaScript,1133.0,3.0,9976.0,0.00264783759929391,27.0,1130.0,0.0
C++,710.0,18.0,8461.0,0.02535211267605634,215.0,692.0,0.0
Java,329.0,8.0,9686.0,0.0243161094224924,236.0,321.0,0.0
Dart,5110.0,116.0,8284.0,0.022700587084148727,189.0,4994.0,0.0
Dart,1544.0,1.0,8284.0,0.0006476683937823834,6.0,1543.0,0.0
Rust,725.0,2.0,8690.0,0.002758620689655172,24.0,723.0,0.0
TypeScript,1096.0,2.0,9508.0,0.0018248175182481751,18.0,1094.0,0.0
Dart,390.0,1.0,8284.0,0.002564102564102564,22.0,389.0,0.0
Dart,911.0,5.0,8284.0,0.005488474204171241,46.0,906.0,0.0
Java,336.0,1.0,9686.0,0.002976190476190476,29.0,335.0,0.0
Objective-C,136.0,1.0,6110.0,0.007352941176470588,45.0,135.0,0.0
Dart,117.0,1.0,8284.0,0.008547008547008548,71.0,116.0,0.0
Dart,225.0,1.0,8284.0,0.0044444444444444444,37.0,224.0,0.0
C++,649.0,24.0,8461.0,0.03697996918335902,313.0,625.0,0.0
Dart,22823.0,231.0,8284.0,0.010121368794636989,84.0,22592.0,0.0
JavaScript,26.0,5.0,9976.0,0.19230769230769232,1919.0,21.0,1898.0
Python,137.0,2.0,8935.0,0.014598540145985401,131.0,135.0,0.0
C++,29.0,1.0,8461.0,0.034482758620689655,292.0,28.0,264.0
Dart,678.0,4.0,8284.0,0.0058997050147492625,49.0,674.0,0.0
Java,96.0,3.0,9686.0,0.03125,303.0,93.0,210.0
Objective-C,50.0,3.0,6110.0,0.06,367.0,47.0,320.0
Dart,927.0,9.0,8284.0,0.009708737864077669,81.0,918.0,0.0
TypeScript,416.0,7.0,9508.0,0.016826923076923076,160.0,409.0,0.0
Kotlin,21.0,1.0,9287.0,0.047619047619047616,443.0,20.0,423.0
Dart,163.0,4.0,8284.0,0.024539877300613498,204.0,159.0,45.0
Dart,43.0,1.0,8284.0,0.023255813953488372,193.0,42.0,151.0
Dart,419.0,2.0,8284.0,0.00477326968973747,40.0,417.0,0.0
Elixir,551.0,18.0,4628.0,0.032667876588021776,152.0,533.0,0.0
Elixir,290.0,1.0,4628.0,0.0034482758620689655,16.0,289.0,0.0
JavaScript,28.0,3.0,9976.0,0.10714285714285714,1069.0,25.0,1044.0
Elixir,889.0,13.0,4628.0,0.014623172103487065,68.0,876.0,0.0
Elixir,755.0,5.0,4628.0,0.006622516556291391,31.0,750.0,0.0
Rust,180.0,4.0,8690.0,0.022222222222222223,194.0,176.0,18.0
Swift,41.0,1.0,7649.0,0.024390243902439025,187.0,40.0,147.0
Elixir,126.0,6.0,4628.0,0.047619047619047616,221.0,120.0,101.0
Elixir,145.0,6.0,4628.0,0.041379310344827586,192.0,139.0,53.0
JavaScript,67.0,5.0,9976.0,0.07462686567164178,745.0,62.0,683.0
Elixir,426.0,1.0,4628.0,0.002347417840375587,11.0,425.0,0.0
TypeScript,187.0,1.0,9508.0,0.0053475935828877,51.0,186.0,0.0
Elixir,239.0,2.0,4628.0,0.008368200836820083,39.0,237.0,0.0
Elixir,539.0,1.0,4628.0,0.0018552875695732839,9.0,538.0,0.0
Elixir,1831.0,12.0,4628.0,0.006553795740032769,31.0,1819.0,0.0
Elixir,140.0,10.0,4628.0,0.07142857142857142,331.0,130.0,201.0
Elixir,26.0,1.0,4628.0,0.038461538461538464,178.0,25.0,153.0
Elixir,211.0,3.0,4628.0,0.014218009478672985,66.0,208.0,0.0
Elixir,124.0,3.0,4628.0,0.024193548387096774,112.0,121.0,0.0
Elixir,173.0,1.0,4628.0,0.005780346820809248,27.0,172.0,0.0
Go,10131.0,112.0,9017.0,0.011055177178955681,100.0,10019.0,0.0
Go,14825.0,188.0,9017.0,0.012681281618887015,115.0,14637.0,0.0
Go,91.0,1.0,9017.0,0.01098901098901099,100.0,90.0,10.0
Go,838.0,1.0,9017.0,0.0011933174224343676,11.0,837.0,0.0
JavaScript,22.0,1.0,9976.0,0.045454545454545456,454.0,21.0,433.0
Go,7913.0,73.0,9017.0,0.0092253254138759,84.0,7840.0,0.0
C,10.0,2.0,8977.0,0.2,1796.0,8.0,1788.0
C++,17.0,2.0,8461.0,0.11764705882352941,996.0,15.0,981.0
Go,180.0,1.0,9017.0,0.005555555555555556,51.0,179.0,0.0
Objective-C,2.0,1.0,6110.0,0.5,3055.0,1.0,3054.0
Go,73.0,2.0,9017.0,0.0273972602739726,248.0,71.0,177.0
Ruby,1.0,1.0,9419.0,1.0,9419.0,0.0,9419.0
Go,552.0,7.0,9017.0,0.012681159420289856,115.0,545.0,0.0
JavaScript,38.0,8.0,9976.0,0.21052631578947367,2101.0,30.0,2071.0
Go,564.0,13.0,9017.0,0.02304964539007092,208.0,551.0,0.0
JavaScript,16.0,1.0,9976.0,0.0625,624.0,15.0,609.0
TypeScript,222.0,6.0,9508.0,0.02702702702702703,257.0,216.0,41.0
JavaScript,197.0,11.0,9976.0,0.05583756345177665,558.0,186.0,372.0
TypeScript,141.0,12.0,9508.0,0.0851063829787234,810.0,129.0,681.0
Go,597.0,6.0,9017.0,0.010050251256281407,91.0,591.0,0.0
Go,1031.0,4.0,9017.0,0.0038797284190106693,35.0,1027.0,0.0
Go,1186.0,4.0,9017.0,0.003372681281618887,31.0,1182.0,0.0
JavaScript,40.0,1.0,9976.0,0.025,250.0,39.0,211.0
Go,1957.0,23.0,9017.0,0.011752682677567705,106.0,1934.0,0.0
Go,894.0,19.0,9017.0,0.021252796420581657,192.0,875.0,0.0
Go,282.0,1.0,9017.0,0.0035460992907801418,32.0,281.0,0.0
JavaScript,172.0,6.0,9976.0,0.03488372093023256,348.0,166.0,182.0
Go,976.0,7.0,9017.0,0.007172131147540984,65.0,969.0,0.0
Go,2575.0,1.0,9017.0,0.0003883495145631068,4.0,2574.0,0.0
JavaScript,8.0,1.0,9976.0,0.125,1247.0,7.0,1240.0
Go,1673.0,25.0,9017.0,0.014943215780035863,135.0,1648.0,0.0
Go,149.0,18.0,9017.0,0.12080536912751678,1090.0,131.0,959.0
JavaScript,24.0,4.0,9976.0,0.16666666666666666,1663.0,20.0,1643.0
TypeScript,20.0,2.0,9508.0,0.1,951.0,18.0,933.0
Go,3514.0,61.0,9017.0,0.017359134889015367,157.0,3453.0,0.0
Go,36.0,2.0,9017.0,0.05555555555555555,501.0,34.0,467.0
Go,1796.0,20.0,9017.0,0.011135857461024499,101.0,1776.0,0.0
Haskell,29.0,3.0,7403.0,0.10344827586206896,766.0,26.0,740.0
Haskell,332.0,7.0,7403.0,0.02108433734939759,157.0,325.0,0.0
Haskell,99.0,2.0,7403.0,0.020202020202020204,150.0,97.0,53.0
Haskell,223.0,1.0,7403.0,0.004484304932735426,34.0,222.0,0.0
Haskell,139.0,3.0,7403.0,0.02158273381294964,160.0,136.0,24.0
Haskell,599.0,13.0,7403.0,0.021702838063439065,161.0,586.0,0.0
Haskell,202.0,10.0,7403.0,0.04950495049504951,367.0,192.0,175.0
JavaScript,23.0,1.0,9976.0,0.043478260869565216,434.0,22.0,412.0
Kotlin,292.0,31.0,9287.0,0.10616438356164383,986.0,261.0,725.0
Swift,186.0,12.0,7649.0,0.06451612903225806,494.0,174.0,320.0
TypeScript,12.0,2.0,9508.0,0.16666666666666666,1585.0,10.0,1575.0
Haskell,1083.0,67.0,7403.0,0.061865189289012,458.0,1016.0,0.0
Haskell,477.0,1.0,7403.0,0.0020964360587002098,16.0,476.0,0.0
Haskell,1096.0,2.0,7403.0,0.0018248175182481751,14.0,1094.0,0.0
Haskell,118.0,6.0,7403.0,0.05084745762711865,377.0,112.0,265.0
JavaScript,7.0,1.0,9976.0,0.14285714285714285,1426.0,6.0,1420.0
Haskell,147.0,6.0,7403.0,0.04081632653061224,303.0,141.0,162.0
Haskell,441.0,8.0,7403.0,0.018140589569160998,135.0,433.0,0.0
Haskell,12611.0,66.0,7403.0,0.005233526286575212,39.0,12545.0,0.0
JavaScript,54.0,3.0,9976.0,0.05555555555555555,555.0,51.0,504.0
Python,44.0,2.0,8935.0,0.045454545454545456,407.0,42.0,365.0
Haskell,23.0,2.0,7403.0,0.08695652173913043,644.0,21.0,623.0
JavaScript,47.0,5.0,9976.0,0.10638297872340426,1062.0,42.0,1020.0
Haskell,1287.0,4.0,7403.0,0.003108003108003108,24.0,1283.0,0.0
JavaScript,49.0,1.0,9976.0,0.02040816326530612,204.0,48.0,156.0
Haskell,1231.0,14.0,7403.0,0.011372867587327376,85.0,1217.0,0.0
Haskell,1659.0,18.0,7403.0,0.0108499095840868,81.0,1641.0,0.0
Haskell,1126.0,3.0,7403.0,0.0026642984014209592,20.0,1123.0,0.0
Haskell,515.0,11.0,7403.0,0.021359223300970873,159.0,504.0,0.0
Java,7557.0,7.0,9686.0,0.0009262935027127167,9.0,7550.0,0.0
JavaScript,3.0,1.0,9976.0,0.3333333333333333,3326.0,2.0,3324.0
Java,22151.0,293.0,9686.0,0.013227393797119768,129.0,21858.0,0.0
Java,8803.0,31.0,9686.0,0.003521526752243553,35.0,8772.0,0.0
Kotlin,320.0,1.0,9287.0,0.003125,30.0,319.0,0.0
Java,1944.0,34.0,9686.0,0.01748971193415638,170.0,1910.0,0.0
C,100.0,2.0,8977.0,0.02,180.0,98.0,82.0
C++,139.0,4.0,8461.0,0.02877697841726619,244.0,135.0,109.0
Java,16642.0,154.0,9686.0,0.009253695469294556,90.0,16488.0,0.0
Python,117.0,2.0,8935.0,0.017094017094017096,153.0,115.0,38.0
Java,1884.0,40.0,9686.0,0.021231422505307854,206.0,1844.0,0.0
Java,3798.0,9.0,9686.0,0.002369668246445498,23.0,3789.0,0.0
Java,742.0,4.0,9686.0,0.005390835579514825,53.0,738.0,0.0
JavaScript,77.0,9.0,9976.0,0.11688311688311688,1167.0,68.0,1099.0
Java,5559.0,30.0,9686.0,0.005396654074473826,53.0,5529.0,0.0
JavaScript,28.0,1.0,9976.0,0.03571428571428571,357.0,27.0,330.0
Java,232.0,1.0,9686.0,0.004310344827586207,42.0,231.0,0.0
Kotlin,154.0,1.0,9287.0,0.006493506493506494,61.0,153.0,0.0
Java,716.0,1.0,9686.0,0.0013966480446927375,14.0,715.0,0.0
Kotlin,39.0,3.0,9287.0,0.07692307692307693,715.0,36.0,679.0
Java,2918.0,28.0,9686.0,0.009595613433858808,93.0,2890.0,0.0
Java,197.0,1.0,9686.0,0.005076142131979695,50.0,196.0,0.0
C,2.0,1.0,8977.0,0.5,4489.0,1.0,4488.0
C++,125.0,1.0,8461.0,0.008,68.0,124.0,0.0
Java,1252.0,1.0,9686.0,0.0007987220447284345,8.0,1251.0,0.0
JavaScript,1234.0,27.0,9976.0,0.02188006482982172,219.0,1207.0,0.0
Ruby,320.0,1.0,9419.0,0.003125,30.0,319.0,0.0
Rust,33.0,1.0,8690.0,0.030303030303030304,264.0,32.0,232.0
JavaScript,181.0,2.0,9976.0,0.011049723756906077,111.0,179.0,0.0
Java,355.0,3.0,9686.0,0.008450704225352112,82.0,352.0,0.0
Kotlin,104.0,1.0,9287.0,0.009615384615384616,90.0,103.0,0.0
JavaScript,101.0,2.0,9976.0,0.019801980198019802,198.0,99.0,99.0
Java,5094.0,39.0,9686.0,0.0076560659599528855,75.0,5055.0,0.0
Java,5113.0,118.0,9686.0,0.02307842753764913,224.0,4995.0,0.0
Scala,491.0,37.0,8926.0,0.07535641547861507,673.0,454.0,219.0
Java,451.0,1.0,9686.0,0.0022172949002217295,22.0,450.0,0.0
JavaScript,20.0,1.0,9976.0,0.05,499.0,19.0,480.0
JavaScript,46.0,8.0,9976.0,0.17391304347826086,1735.0,38.0,1697.0
Java,133.0,1.0,9686.0,0.007518796992481203,73.0,132.0,0.0
JavaScript,35.0,2.0,9976.0,0.05714285714285714,571.0,33.0,538.0
JavaScript,67.0,15.0,9976.0,0.22388059701492538,2234.0,52.0,2182.0
Java,3119.0,16.0,9686.0,0.005129849310676499,50.0,3103.0,0.0
Java,2138.0,11.0,9686.0,0.005144995322731525,50.0,2127.0,0.0
Kotlin,2558.0,55.0,9287.0,0.02150117279124316,200.0,2503.0,0.0
JavaScript,3564.0,86.0,9976.0,0.024130190796857465,241.0,3478.0,0.0
Rust,54.0,2.0,8690.0,0.037037037037037035,322.0,52.0,270.0
TypeScript,412.0,7.0,9508.0,0.01699029126213592,162.0,405.0,0.0
JavaScript,122.0,8.0,9976.0,0.06557377049180328,655.0,114.0,541.0
JavaScript,19.0,1.0,9976.0,0.05263157894736842,526.0,18.0,508.0
JavaScript,6840.0,103.0,9976.0,0.015058479532163743,151.0,6737.0,0.0
Rust,836.0,12.0,8690.0,0.014354066985645933,125.0,824.0,0.0
TypeScript,5626.0,33.0,9508.0,0.005865623889086385,56.0,5593.0,0.0
C,2071.0,14.0,8977.0,0.006760019314340898,61.0,2057.0,0.0
C++,3170.0,93.0,8461.0,0.029337539432176655,249.0,3077.0,0.0
JavaScript,18125.0,130.0,9976.0,0.007172413793103448,72.0,17995.0,0.0
Perl,621.0,57.0,3692.0,0.09178743961352658,339.0,564.0,0.0
Python,772.0,12.0,8935.0,0.015544041450777202,139.0,760.0,0.0
Rust,5.0,1.0,8690.0,0.2,1738.0,4.0,1734.0
TypeScript,216.0,1.0,9508.0,0.004629629629629629,45.0,215.0,0.0
JavaScript,161.0,5.0,9976.0,0.031055900621118012,310.0,156.0,154.0
JavaScript,268.0,2.0,9976.0,0.007462686567164179,75.0,266.0,0.0
JavaScript,1490.0,34.0,9976.0,0.022818791946308724,228.0,1456.0,0.0
JavaScript,2385.0,2.0,9976.0,0.0008385744234800838,9.0,2383.0,0.0
TypeScript,75.0,2.0,9508.0,0.02666666666666667,254.0,73.0,181.0
JavaScript,166.0,4.0,9976.0,0.024096385542168676,241.0,162.0,79.0
TypeScript,364.0,4.0,9508.0,0.01098901098901099,105.0,360.0,0.0
JavaScript,55.0,1.0,9976.0,0.01818181818181818,182.0,54.0,128.0
JavaScript,5357.0,18.0,9976.0,0.003360089602389397,34.0,5339.0,0.0
TypeScript,71.0,2.0,9508.0,0.028169014084507043,268.0,69.0,199.0
JavaScript,644.0,9.0,9976.0,0.013975155279503106,140.0,635.0,0.0
TypeScript,81.0,1.0,9508.0,0.012345679012345678,118.0,80.0,38.0
JavaScript,402.0,20.0,9976.0,0.04975124378109453,497.0,382.0,115.0
JavaScript,53.0,10.0,9976.0,0.18867924528301888,1883.0,43.0,1840.0
JavaScript,262.0,9.0,9976.0,0.03435114503816794,343.0,253.0,90.0
JavaScript,1110.0,28.0,9976.0,0.025225225225225224,252.0,1082.0,0.0
JavaScript,2657.0,17.0,9976.0,0.00639819345126082,64.0,2640.0,0.0
TypeScript,1040.0,5.0,9508.0,0.004807692307692308,46.0,1035.0,0.0
JavaScript,131.0,12.0,9976.0,0.0916030534351145,914.0,119.0,795.0
JavaScript,224.0,1.0,9976.0,0.004464285714285714,45.0,223.0,0.0
JavaScript,20.0,3.0,9976.0,0.15,1497.0,17.0,1480.0
JavaScript,3287.0,4.0,9976.0,0.001216915120170368,13.0,3283.0,0.0
JavaScript,622.0,9.0,9976.0,0.014469453376205787,145.0,613.0,0.0
JavaScript,7.0,1.0,9976.0,0.14285714285714285,1426.0,6.0,1420.0
JavaScript,411.0,32.0,9976.0,0.07785888077858881,777.0,379.0,398.0
JavaScript,1719.0,25.0,9976.0,0.014543339150668994,146.0,1694.0,0.0
TypeScript,1888.0,13.0,9508.0,0.006885593220338983,66.0,1875.0,0.0
JavaScript,584.0,18.0,9976.0,0.030821917808219176,308.0,566.0,0.0
Java,3824.0,178.0,9686.0,0.04654811715481171,451.0,3646.0,0.0
Kotlin,56831.0,399.0,9287.0,0.007020816103886963,66.0,56432.0,0.0
Swift,195.0,3.0,7649.0,0.015384615384615385,118.0,192.0,0.0
Kotlin,502.0,36.0,9287.0,0.07171314741035857,666.0,466.0,200.0
Java,44.0,2.0,9686.0,0.045454545454545456,441.0,42.0,399.0
JavaScript,7.0,5.0,9976.0,0.7142857142857143,7126.0,2.0,7124.0
Kotlin,517.0,27.0,9287.0,0.05222437137330754,486.0,490.0,0.0
Kotlin,91.0,4.0,9287.0,0.04395604395604396,409.0,87.0,322.0
Kotlin,413.0,7.0,9287.0,0.01694915254237288,158.0,406.0,0.0
JavaScript,20.0,1.0,9976.0,0.05,499.0,19.0,480.0
Kotlin,793.0,24.0,9287.0,0.03026481715006305,282.0,769.0,0.0
Kotlin,419.0,1.0,9287.0,0.002386634844868735,23.0,418.0,0.0
Kotlin,81.0,1.0,9287.0,0.012345679012345678,115.0,80.0,35.0
Kotlin,86.0,4.0,9287.0,0.046511627906976744,432.0,82.0,350.0
Java,13.0,3.0,9686.0,0.23076923076923078,2236.0,10.0,2226.0
Kotlin,37.0,3.0,9287.0,0.08108108108108109,753.0,34.0,719.0
Kotlin,167.0,5.0,9287.0,0.029940119760479042,279.0,162.0,117.0
Kotlin,224.0,25.0,9287.0,0.11160714285714286,1037.0,199.0,838.0
Kotlin,299.0,3.0,9287.0,0.010033444816053512,94.0,296.0,0.0
Kotlin,333.0,5.0,9287.0,0.015015015015015015,140.0,328.0,0.0
Kotlin,1064.0,6.0,9287.0,0.005639097744360902,53.0,1058.0,0.0
Kotlin,1379.0,19.0,9287.0,0.013778100072516316,128.0,1360.0,0.0
Kotlin,1013.0,6.0,9287.0,0.005923000987166831,56.0,1007.0,0.0
Kotlin,1825.0,20.0,9287.0,0.010958904109589041,102.0,1805.0,0.0
Java,2.0,1.0,9686.0,0.5,4843.0,1.0,4842.0
Kotlin,327.0,3.0,9287.0,0.009174311926605505,86.0,324.0,0.0
Kotlin,400.0,5.0,9287.0,0.0125,117.0,395.0,0.0
Kotlin,6.0,3.0,9287.0,0.5,4644.0,3.0,4641.0
Kotlin,281.0,1.0,9287.0,0.0035587188612099642,34.0,280.0,0.0
Java,57.0,3.0,9686.0,0.05263157894736842,510.0,54.0,456.0
Kotlin,77.0,8.0,9287.0,0.1038961038961039,965.0,69.0,896.0
