project language,project,owner,code language,#,percentil 25,percentil 50,percentil 75,percentil 90,percentil 95,percentil 97,percentil 98,percentil 99
Python,gpt4free.csv,xtekky,JavaScript,13,1.0,19.0,50.0,1193.0,2344.0,2866.0,3128.0,3389.0
Python,gpt4free.csv,xtekky,Python,209,37.0,59.0,87.0,151.0,210.0,319.0,407.0,451.0
Python,langchain.csv,langchain-ai,JavaScript,22,15.0,36.0,231.0,447.0,1179.0,1842.0,2197.0,2551.0
Python,langchain.csv,langchain-ai,Python,4038,11.0,33.0,93.0,222.0,344.0,460.0,577.0,769.0
Python,scrapy.csv,scrapy,Python,333,28.0,80.0,180.0,376.0,571.0,641.0,786.0,993.0
Python,transformers.csv,huggingface,C++,5,26.0,62.0,72.0,104.0,114.0,118.0,120.0,122.0
Python,transformers.csv,huggingface,Python,2944,72.0,175.0,447.0,873.0,1128.0,1291.0,1430.0,1744.0
Python,thefuck.csv,nvbn,Python,406,11.0,19.0,31.0,52.0,68.0,89.0,107.0,125.0
Python,scikit-learn.csv,scikit-learn,C,3,225.0,271.0,307.0,329.0,336.0,339.0,341.0,342.0
Python,scikit-learn.csv,scikit-learn,C++,5,184.0,205.0,2515.0,2594.0,2620.0,2631.0,2636.0,2641.0
Python,scikit-learn.csv,scikit-learn,JavaScript,6,8.0,17.0,35.0,39.0,40.0,40.0,40.0,40.0
Python,scikit-learn.csv,scikit-learn,Python,873,51.0,107.0,292.0,640.0,988.0,1216.0,1406.0,1744.0
Python,django.csv,django,JavaScript,111,1.0,1.0,23.0,155.0,237.0,304.0,3117.0,4974.0
Python,django.csv,django,Python,2171,16.0,48.0,154.0,373.0,680.0,1046.0,1409.0,1832.0
Python,flask.csv,pallets,Python,80,15.0,60.0,158.0,291.0,494.0,660.0,705.0,875.0
Python,youtube-dl.csv,ytdl-org,Python,902,50.0,83.0,148.0,276.0,405.0,580.0,694.0,1123.0
Python,stable-diffusion-webui.csv,AUTOMATIC1111,JavaScript,30,34.0,82.0,159.0,236.0,424.0,530.0,572.0,615.0
Python,stable-diffusion-webui.csv,AUTOMATIC1111,Python,211,38.0,77.0,157.0,359.0,571.0,653.0,727.0,1125.0
Elixir,phoenix_live_view.csv,phoenixframework,Elixir,145,40.0,135.0,311.0,755.0,1041.0,1340.0,1418.0,1713.0
Elixir,phoenix_live_view.csv,phoenixframework,JavaScript,67,22.0,56.0,201.0,719.0,1201.0,5257.0,5269.0,5286.0
Elixir,oban.csv,sorentwo,Elixir,109,26.0,58.0,123.0,229.0,334.0,410.0,424.0,491.0
Elixir,ex_machina.csv,beam-community,Elixir,29,6.0,30.0,83.0,162.0,208.0,223.0,233.0,244.0
Elixir,analytics.csv,plausible,Elixir,889,15.0,41.0,123.0,270.0,426.0,686.0,857.0,1356.0
Elixir,analytics.csv,plausible,JavaScript,93,28.0,60.0,107.0,230.0,277.0,316.0,325.0,344.0
Elixir,analytics.csv,plausible,TypeScript,64,45.0,66.0,126.0,203.0,239.0,296.0,396.0,468.0
Elixir,guardian.csv,ueberauth,Elixir,48,27.0,61.0,144.0,282.0,311.0,375.0,420.0,472.0
Elixir,scenic.csv,ScenicFramework,C,4,130.0,148.0,202.0,298.0,330.0,343.0,350.0,356.0
Elixir,scenic.csv,ScenicFramework,Elixir,173,17.0,50.0,152.0,333.0,488.0,574.0,705.0,876.0
Elixir,phoenix_live_dashboard.csv,phoenixframework,Elixir,67,51.0,77.0,154.0,294.0,340.0,474.0,612.0,706.0
Elixir,phoenix_live_dashboard.csv,phoenixframework,JavaScript,14,16.0,29.0,45.0,311.0,448.0,481.0,497.0,513.0
Elixir,phoenix.csv,phoenixframework,Elixir,290,19.0,56.0,152.0,320.0,473.0,519.0,598.0,670.0
Elixir,phoenix.csv,phoenixframework,JavaScript,28,12.0,78.0,170.0,891.0,1228.0,1235.0,1235.0,1236.0
Elixir,blockscout.csv,blockscout,Elixir,1831,15.0,42.0,100.0,230.0,415.0,549.0,692.0,976.0
Elixir,blockscout.csv,blockscout,JavaScript,104,13.0,44.0,107.0,193.0,304.0,316.0,363.0,390.0
Elixir,elixir.csv,elixir-lang,Elixir,551,40.0,148.0,374.0,730.0,1000.0,1241.0,1364.0,1804.0
Elixir,absinthe.csv,absinthe-graphql,Elixir,539,20.0,41.0,87.0,174.0,248.0,319.0,363.0,478.0
Elixir,tesla.csv,elixir-tesla,Elixir,93,15.0,53.0,101.0,200.0,238.0,248.0,254.0,288.0
Elixir,broadway.csv,dashbitco,Elixir,26,20.0,71.0,181.0,319.0,427.0,934.0,1410.0,1886.0
Elixir,teslamate.csv,teslamate-org,Elixir,239,10.0,26.0,89.0,213.0,382.0,474.0,506.0,602.0
Elixir,teslamate.csv,teslamate-org,JavaScript,8,18.0,38.0,65.0,126.0,195.0,222.0,236.0,250.0
Elixir,plug.csv,elixir-plug,Elixir,76,35.0,84.0,164.0,303.0,477.0,665.0,782.0,927.0
Elixir,magnetissimo.csv,sergiotapia,Elixir,76,11.0,30.0,73.0,160.0,204.0,213.0,313.0,419.0
Elixir,magnetissimo.csv,sergiotapia,JavaScript,3,45.0,79.0,116.0,139.0,146.0,149.0,151.0,152.0
Elixir,nx.csv,elixir-nx,C++,19,4.0,5.0,94.0,435.0,866.0,920.0,947.0,974.0
Elixir,nx.csv,elixir-nx,Elixir,140,31.0,92.0,258.0,877.0,1389.0,2224.0,2935.0,3556.0
Elixir,httpoison.csv,edgurgel,Elixir,10,13.0,42.0,356.0,617.0,633.0,640.0,643.0,646.0
Elixir,ecto.csv,elixir-ecto,Elixir,126,40.0,136.0,455.0,902.0,1176.0,1759.0,1949.0,2120.0
Elixir,asciinema-server.csv,asciinema,Elixir,204,9.0,20.0,48.0,119.0,189.0,226.0,262.0,293.0
Elixir,asciinema-server.csv,asciinema,JavaScript,5,23.0,38.0,64.0,82.0,88.0,91.0,92.0,93.0
Elixir,asciinema-server.csv,asciinema,Rust,1,153.0,153.0,153.0,153.0,153.0,153.0,153.0,153.0
Elixir,surface.csv,surface-ui,Elixir,211,25.0,65.0,163.0,354.0,640.0,1018.0,1150.0,1428.0
Elixir,surface.csv,surface-ui,JavaScript,1,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0
Elixir,quantum-core.csv,quantum-elixir,Elixir,61,12.0,22.0,81.0,215.0,274.0,310.0,407.0,442.0
Elixir,firezone.csv,firezone,Elixir,755,19.0,67.0,139.0,283.0,440.0,668.0,840.0,1023.0
Elixir,firezone.csv,firezone,JavaScript,11,25.0,66.0,102.0,128.0,141.0,146.0,149.0,151.0
Elixir,firezone.csv,firezone,Kotlin,46,16.0,41.0,59.0,138.0,183.0,199.0,224.0,305.0
Elixir,firezone.csv,firezone,Rust,180,36.0,101.0,215.0,469.0,692.0,899.0,1228.0,1643.0
Elixir,firezone.csv,firezone,Swift,41,36.0,69.0,112.0,232.0,414.0,619.0,678.0,691.0
Elixir,firezone.csv,firezone,TypeScript,241,9.0,10.0,30.0,121.0,216.0,296.0,322.0,403.0
Elixir,poison.csv,devinus,Elixir,15,41.0,112.0,215.0,319.0,390.0,411.0,421.0,431.0
Elixir,electric.csv,electric-sql,Elixir,248,12.0,40.0,106.0,230.0,376.0,483.0,572.0,739.0
Elixir,electric.csv,electric-sql,JavaScript,16,31.0,40.0,63.0,89.0,110.0,127.0,136.0,145.0
Elixir,electric.csv,electric-sql,TypeScript,124,16.0,41.0,93.0,150.0,230.0,284.0,346.0,484.0
Elixir,floki.csv,philss,Elixir,124,62.0,904.0,904.0,904.0,904.0,909.0,1356.0,2055.0
Elixir,credo.csv,rrrene,Elixir,443,35.0,70.0,135.0,272.0,445.0,509.0,572.0,702.0
Elixir,credo.csv,rrrene,Perl,1,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
Elixir,bamboo.csv,beam-community,Elixir,56,22.0,47.0,121.0,233.0,284.0,358.0,394.0,476.0
Elixir,papercups.csv,papercups-io,Elixir,426,19.0,46.0,90.0,177.0,273.0,348.0,391.0,634.0
Elixir,papercups.csv,papercups-io,JavaScript,6,2.0,30.0,87.0,107.0,112.0,114.0,115.0,116.0
Elixir,papercups.csv,papercups-io,TypeScript,187,69.0,133.0,208.0,338.0,429.0,546.0,662.0,695.0
Elixir,realtime.csv,supabase,Elixir,258,16.0,39.0,110.0,226.0,271.0,279.0,292.0,409.0
Elixir,realtime.csv,supabase,JavaScript,7,9.0,33.0,125.0,165.0,179.0,185.0,188.0,191.0
Elixir,realtime.csv,supabase,TypeScript,18,15.0,33.0,62.0,211.0,330.0,386.0,415.0,443.0
Swift,SnapKit.csv,SnapKit,Ruby,1,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
Swift,SnapKit.csv,SnapKit,Swift,44,20.0,34.0,64.0,148.0,171.0,234.0,302.0,431.0
Swift,Charts.csv,ChartsOrg,Objective-C,30,122.0,141.0,179.0,212.0,236.0,240.0,242.0,244.0
Swift,Charts.csv,ChartsOrg,Ruby,1,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Swift,Charts.csv,ChartsOrg,Swift,205,23.0,56.0,113.0,256.0,367.0,483.0,582.0,662.0
Swift,Moya.csv,Moya,Ruby,2,70.0,93.0,116.0,129.0,134.0,136.0,137.0,138.0
Swift,Moya.csv,Moya,Swift,63,24.0,51.0,123.0,274.0,490.0,511.0,538.0,708.0
Swift,Spring.csv,MengTo,Ruby,1,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0
Swift,Spring.csv,MengTo,Swift,33,20.0,41.0,58.0,95.0,220.0,240.0,317.0,393.0
Swift,OpenEmu.csv,OpenEmu,C,1,106.0,106.0,106.0,106.0,106.0,106.0,106.0,106.0
Swift,OpenEmu.csv,OpenEmu,Objective-C,70,17.0,35.0,62.0,256.0,492.0,663.0,684.0,736.0
Swift,OpenEmu.csv,OpenEmu,Swift,167,20.0,55.0,162.0,397.0,510.0,563.0,682.0,709.0
Swift,Hero.csv,HeroTransitions,JavaScript,5,1.0,57.0,63.0,1037.0,1361.0,1491.0,1556.0,1621.0
Swift,Hero.csv,HeroTransitions,Ruby,1,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
Swift,Hero.csv,HeroTransitions,Swift,79,25.0,48.0,80.0,131.0,232.0,319.0,339.0,353.0
Swift,CodeEdit.csv,CodeEditApp,PHP,1,42.0,42.0,42.0,42.0,42.0,42.0,42.0,42.0
Swift,CodeEdit.csv,CodeEditApp,Ruby,1,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
Swift,CodeEdit.csv,CodeEditApp,Swift,565,21.0,44.0,82.0,151.0,187.0,213.0,226.0,252.0
Swift,vapor.csv,vapor,C,2,267.0,365.0,463.0,521.0,541.0,549.0,553.0,557.0
Swift,vapor.csv,vapor,Swift,272,26.0,52.0,110.0,244.0,334.0,406.0,586.0,691.0
Swift,Carthage.csv,Carthage,C,1,39.0,39.0,39.0,39.0,39.0,39.0,39.0,39.0
Swift,Carthage.csv,Carthage,Swift,88,30.0,70.0,146.0,345.0,424.0,494.0,698.0,1212.0
Swift,Rectangle.csv,rxhanson,Swift,129,23.0,35.0,63.0,125.0,216.0,354.0,408.0,463.0
Swift,SwiftyJSON.csv,SwiftyJSON,Ruby,1,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
Swift,SwiftyJSON.csv,SwiftyJSON,Swift,22,49.0,77.0,205.0,256.0,308.0,597.0,760.0,923.0
Swift,IQKeyboardManager.csv,hackiftekhar,Objective-C,42,10.0,66.0,130.0,296.0,483.0,529.0,762.0,1264.0
Swift,IQKeyboardManager.csv,hackiftekhar,Swift,78,10.0,31.0,62.0,101.0,172.0,200.0,239.0,336.0
Swift,lottie-ios.csv,airbnb,JavaScript,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Swift,lottie-ios.csv,airbnb,Ruby,2,73.0,115.0,157.0,183.0,191.0,194.0,196.0,198.0
Swift,lottie-ios.csv,airbnb,Swift,315,21.0,47.0,105.0,192.0,274.0,317.0,336.0,394.0
Swift,MonitorControl.csv,MonitorControl,Swift,29,24.0,153.0,258.0,336.0,440.0,486.0,486.0,486.0
Swift,SwiftLint.csv,realm,C,1,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
Swift,SwiftLint.csv,realm,Ruby,2,81.0,146.0,212.0,251.0,264.0,270.0,272.0,275.0
Swift,SwiftLint.csv,realm,Swift,641,30.0,69.0,136.0,227.0,276.0,330.0,415.0,481.0
Swift,Aerial.csv,JohnCoates,Objective-C,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Swift,Aerial.csv,JohnCoates,Swift,138,25.0,73.0,162.0,270.0,437.0,494.0,528.0,575.0
Swift,firefox-ios.csv,mozilla-mobile,C,10,90.0,167.0,329.0,380.0,419.0,434.0,442.0,450.0
Swift,firefox-ios.csv,mozilla-mobile,JavaScript,82,18.0,54.0,218.0,584.0,786.0,990.0,1123.0,1539.0
Swift,firefox-ios.csv,mozilla-mobile,Objective-C,7,17.0,26.0,38.0,86.0,116.0,128.0,134.0,140.0
Swift,firefox-ios.csv,mozilla-mobile,Python,42,22.0,48.0,95.0,152.0,195.0,207.0,212.0,216.0
Swift,firefox-ios.csv,mozilla-mobile,Ruby,1,55.0,55.0,55.0,55.0,55.0,55.0,55.0,55.0
Swift,firefox-ios.csv,mozilla-mobile,Swift,2091,23.0,54.0,111.0,215.0,313.0,405.0,501.0,748.0
Swift,Alamofire.csv,Alamofire,JavaScript,5,1.0,57.0,63.0,1037.0,1362.0,1492.0,1557.0,1622.0
Swift,Alamofire.csv,Alamofire,Ruby,1,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Swift,Alamofire.csv,Alamofire,Swift,92,41.0,153.0,412.0,692.0,841.0,1021.0,1071.0,1097.0
Swift,ReactiveCocoa.csv,ReactiveCocoa,Objective-C,2,13.0,18.0,24.0,27.0,28.0,29.0,29.0,29.0
Swift,ReactiveCocoa.csv,ReactiveCocoa,Ruby,2,21.0,23.0,25.0,27.0,27.0,27.0,27.0,27.0
Swift,ReactiveCocoa.csv,ReactiveCocoa,Swift,148,14.0,30.0,62.0,128.0,214.0,282.0,360.0,485.0
Swift,UTM.csv,utmapp,C,4,25.0,60.0,123.0,180.0,199.0,207.0,211.0,215.0
Swift,UTM.csv,utmapp,Objective-C,32,57.0,110.0,181.0,306.0,348.0,393.0,470.0,548.0
Swift,UTM.csv,utmapp,Python,1,335.0,335.0,335.0,335.0,335.0,335.0,335.0,335.0
Swift,UTM.csv,utmapp,Swift,206,52.0,95.0,168.0,344.0,521.0,587.0,847.0,969.0
Swift,Material.csv,CosmicMind,Ruby,1,23.0,23.0,23.0,23.0,23.0,23.0,23.0,23.0
Swift,Material.csv,CosmicMind,Swift,99,29.0,77.0,141.0,278.0,340.0,469.0,479.0,536.0
Swift,stats.csv,exelban,Objective-C,2,48.0,67.0,87.0,99.0,103.0,104.0,105.0,106.0
Swift,stats.csv,exelban,Python,3,58.0,66.0,160.0,217.0,236.0,243.0,247.0,251.0
Swift,stats.csv,exelban,Swift,105,88.0,151.0,329.0,508.0,648.0,741.0,750.0,953.0
Swift,iina.csv,iina,JavaScript,5,8.0,16.0,40.0,68.0,77.0,81.0,83.0,85.0
Swift,iina.csv,iina,Objective-C,3,35.0,61.0,295.0,436.0,483.0,501.0,511.0,520.0
Swift,iina.csv,iina,Ruby,3,92.0,101.0,123.0,137.0,141.0,143.0,144.0,145.0
Swift,iina.csv,iina,Swift,175,38.0,83.0,188.0,430.0,730.0,796.0,843.0,1437.0
Swift,Perfect.csv,PerfectlySoft,Swift,13,29.0,128.0,426.0,505.0,531.0,546.0,553.0,560.0
Swift,Kingfisher.csv,onevcat,Objective-C,25,11.0,29.0,48.0,97.0,98.0,100.0,101.0,102.0
Swift,Kingfisher.csv,onevcat,Ruby,5,33.0,39.0,45.0,47.0,47.0,47.0,47.0,47.0
Swift,Kingfisher.csv,onevcat,Swift,159,24.0,47.0,108.0,276.0,437.0,611.0,707.0,756.0
Swift,ShadowsocksX-NG.csv,shadowsocks,JavaScript,1,741.0,741.0,741.0,741.0,741.0,741.0,741.0,741.0
Swift,ShadowsocksX-NG.csv,shadowsocks,Objective-C,47,11.0,49.0,154.0,300.0,676.0,757.0,798.0,966.0
Swift,ShadowsocksX-NG.csv,shadowsocks,Python,1,85.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
Swift,ShadowsocksX-NG.csv,shadowsocks,Swift,306,20.0,46.0,93.0,182.0,308.0,407.0,579.0,634.0
Swift,Mos.csv,Caldis,JavaScript,8,11.0,33.0,42.0,74.0,97.0,107.0,111.0,116.0
Swift,Mos.csv,Caldis,Swift,46,16.0,41.0,88.0,120.0,167.0,195.0,207.0,212.0
Swift,Amethyst.csv,ianyh,JavaScript,7,7.0,18.0,34.0,64.0,74.0,78.0,80.0,82.0
Swift,Amethyst.csv,ianyh,Swift,77,31.0,77.0,197.0,328.0,517.0,582.0,617.0,652.0
Swift,SkeletonView.csv,Juanpe,Ruby,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
Swift,SkeletonView.csv,Juanpe,Swift,75,17.0,24.0,52.0,91.0,151.0,154.0,167.0,180.0
Swift,RxSwift.csv,ReactiveX,JavaScript,5,1.0,57.0,63.0,1037.0,1361.0,1491.0,1556.0,1621.0
Swift,RxSwift.csv,ReactiveX,Objective-C,5,35.0,109.0,619.0,709.0,739.0,751.0,757.0,763.0
Swift,RxSwift.csv,ReactiveX,Ruby,6,27.0,30.0,34.0,45.0,50.0,52.0,54.0,54.0
Swift,RxSwift.csv,ReactiveX,Swift,587,20.0,49.0,107.0,239.0,463.0,567.0,616.0,1252.0
C,libuv.csv,libuv,C,319,46.0,80.0,182.0,412.0,859.0,1192.0,1500.0,1844.0
C,libuv.csv,libuv,JavaScript,1,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
C,libuv.csv,libuv,Python,3,34.0,42.0,51.0,56.0,58.0,58.0,59.0,59.0
C,php-src.csv,php,C,1029,71.0,229.0,656.0,1695.0,3125.0,3989.0,5112.0,9224.0
C,php-src.csv,php,C++,22,109.0,194.0,264.0,496.0,537.0,673.0,750.0,827.0
C,php-src.csv,php,JavaScript,3,90.0,176.0,1540.0,2358.0,2631.0,2740.0,2794.0,2849.0
C,php-src.csv,php,Lua,8,598.0,945.0,1166.0,1752.0,1801.0,1821.0,1831.0,1841.0
C,php-src.csv,php,PHP,20400,17.0,27.0,46.0,89.0,149.0,228.0,316.0,542.0
C,php-src.csv,php,Python,2,111.0,170.0,229.0,265.0,277.0,281.0,284.0,286.0
C,the_silver_searcher.csv,ggreer,C,12,205.0,307.0,385.0,583.0,671.0,713.0,735.0,756.0
C,the_silver_searcher.csv,ggreer,Python,1,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
C,rufus.csv,pbatard,C,145,88.0,230.0,481.0,869.0,1416.0,1623.0,1742.0,1950.0
C,rufus.csv,pbatard,C#,1,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0,1063.0
C,rufus.csv,pbatard,Python,1,126.0,126.0,126.0,126.0,126.0,126.0,126.0,126.0
C,jq.csv,jqlang,C,45,38.0,142.0,801.0,1825.0,3271.0,3613.0,3795.0,4281.0
C,jq.csv,jqlang,C++,2,94.0,157.0,220.0,258.0,271.0,276.0,278.0,281.0
C,jq.csv,jqlang,JavaScript,1,34.0,34.0,34.0,34.0,34.0,34.0,34.0,34.0
C,jq.csv,jqlang,Python,5,19.0,21.0,72.0,147.0,172.0,182.0,187.0,192.0
C,whisper.cpp.csv,ggerganov,C,10,212.0,1935.0,5559.0,8465.0,9521.0,9944.0,10155.0,10366.0
C,whisper.cpp.csv,ggerganov,C++,78,151.0,284.0,824.0,1886.0,3895.0,5743.0,6469.0,9367.0
C,whisper.cpp.csv,ggerganov,Go,18,16.0,63.0,108.0,181.0,241.0,252.0,258.0,263.0
C,whisper.cpp.csv,ggerganov,Java,41,9.0,18.0,56.0,102.0,115.0,133.0,141.0,149.0
C,whisper.cpp.csv,ggerganov,JavaScript,9,1.0,25.0,44.0,352.0,756.0,917.0,998.0,1079.0
C,whisper.cpp.csv,ggerganov,Kotlin,12,15.0,55.0,84.0,148.0,170.0,179.0,184.0,188.0
C,whisper.cpp.csv,ggerganov,Objective-C,7,16.0,111.0,159.0,1564.0,2583.0,2992.0,3195.0,3399.0
C,whisper.cpp.csv,ggerganov,Python,11,42.0,71.0,130.0,167.0,193.0,204.0,209.0,214.0
C,whisper.cpp.csv,ggerganov,Ruby,11,27.0,59.0,118.0,143.0,154.0,158.0,160.0,162.0
C,whisper.cpp.csv,ggerganov,Swift,9,14.0,60.0,123.0,141.0,156.0,162.0,165.0,168.0
C,TDengine.csv,taosdata,C,651,117.0,344.0,832.0,1771.0,2688.0,3266.0,4068.0,5406.0
C,TDengine.csv,taosdata,C#,20,34.0,64.0,178.0,371.0,445.0,578.0,644.0,710.0
C,TDengine.csv,taosdata,C++,208,62.0,112.0,278.0,526.0,922.0,1135.0,1243.0,2642.0
C,TDengine.csv,taosdata,Go,75,20.0,51.0,106.0,267.0,385.0,410.0,505.0,603.0
C,TDengine.csv,taosdata,Java,136,19.0,38.0,70.0,131.0,164.0,220.0,229.0,286.0
C,TDengine.csv,taosdata,JavaScript,24,20.0,40.0,70.0,98.0,115.0,119.0,120.0,121.0
C,TDengine.csv,taosdata,Lua,6,23.0,59.0,80.0,133.0,156.0,166.0,170.0,175.0
C,TDengine.csv,taosdata,PHP,4,16.0,20.0,26.0,32.0,34.0,34.0,35.0,35.0
C,TDengine.csv,taosdata,Python,1196,50.0,103.0,209.0,373.0,557.0,843.0,1143.0,1699.0
C,TDengine.csv,taosdata,Rust,30,26.0,64.0,87.0,102.0,156.0,199.0,199.0,199.0
C,openssl.csv,openssl,C,1590,66.0,167.0,368.0,736.0,1128.0,1548.0,1908.0,3117.0
C,openssl.csv,openssl,Perl,679,10.0,70.0,354.0,967.0,1469.0,1996.0,2646.0,3362.0
C,openssl.csv,openssl,Python,2,65.0,99.0,133.0,154.0,161.0,163.0,165.0,166.0
C,openssl.csv,openssl,Ruby,1,16.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
C,zstd.csv,facebook,C,147,70.0,166.0,495.0,1559.0,2269.0,2615.0,2768.0,3537.0
C,zstd.csv,facebook,C++,16,58.0,95.0,288.0,488.0,1062.0,1730.0,2064.0,2398.0
C,zstd.csv,facebook,Lua,2,20.0,35.0,50.0,59.0,62.0,64.0,64.0,65.0
C,zstd.csv,facebook,Python,13,36.0,116.0,317.0,601.0,661.0,684.0,696.0,708.0
C,zstd.csv,facebook,Swift,1,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
