language,#,percentil 25,percentil 50,percentil 75,percentil 90,percentil 95,percentil 97,percentil 98,percentil 99
C# Generated,27,38.0,82.0,280.0,738.0,1026.0,1373.0,1697.0,2021.0
C++,43316,48.0,118.0,299.0,725.0,1230.0,1786.0,2357.0,3504.0
C/C++ Header,95254,11.0,32.0,90.0,246.0,456.0,695.0,970.0,1679.0
CMake,3554,11.0,23.0,59.0,132.0,255.0,359.0,482.0,784.0
COBOL,4,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0
CSON,55,2.0,7.0,12.0,140.0,199.0,229.0,230.0,240.0
CSS,6112,2.0,7.0,53.0,210.0,498.0,815.0,1428.0,3455.0
CSV,499,5.0,15.0,126.0,497.0,702.0,954.0,1031.0,1618.0
CUDA,1270,2.0,35.0,134.0,365.0,560.0,668.0,804.0,1258.0
Cairo,10,22.0,58.0,166.0,333.0,345.0,350.0,353.0,355.0
Cake Build Script,11,31.0,156.0,454.0,541.0,639.0,679.0,698.0,718.0
Carbon,2072,4.0,7.0,13.0,23.0,33.0,42.0,55.0,75.0
Chapel,5,64.0,81.0,121.0,703.0,897.0,974.0,1013.0,1052.0
Circom,3,12.0,12.0,24.0,31.0,33.0,34.0,35.0,35.0
Clean,9,11.0,15.0,23.0,43.0,54.0,58.0,60.0,62.0
Clojure,72,2.0,8.0,46.0,97.0,127.0,158.0,172.0,179.0
ClojureC,1,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
ClojureScript,1,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
CoffeeScript,137,4.0,14.0,45.0,126.0,246.0,326.0,373.0,479.0
ColdFusion,3,44.0,47.0,50.0,52.0,53.0,53.0,53.0,53.0
ColdFusion CFScript,2,45.0,77.0,109.0,128.0,134.0,137.0,138.0,139.0
Containerfile,2,4.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0
Coq,13,55.0,495.0,757.0,1322.0,2852.0,3768.0,4226.0,4684.0
Crystal,5,95.0,97.0,135.0,299.0,353.0,375.0,386.0,397.0
Cucumber,153,31.0,56.0,123.0,240.0,460.0,579.0,618.0,714.0
Cython,144,16.0,53.0,119.0,351.0,526.0,600.0,699.0,842.0
D,32,5.0,15.0,36.0,111.0,171.0,195.0,239.0,283.0
DOS Batch,856,3.0,12.0,52.0,77.0,127.0,166.0,183.0,243.0
DTD,24,8.0,80.0,444.0,713.0,731.0,734.0,734.0,734.0
Dart,39389,14.0,42.0,116.0,308.0,587.0,879.0,1194.0,1830.0
DenizenScript,6,21.0,42.0,69.0,246.0,333.0,368.0,386.0,403.0
Dockerfile,955,9.0,17.0,33.0,56.0,77.0,92.0,119.0,145.0
EEx,1,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
EJS,11,8.0,11.0,26.0,99.0,110.0,114.0,116.0,118.0
ERB,1726,3.0,9.0,27.0,52.0,83.0,119.0,154.0,227.0
Elixir,15,21.0,45.0,171.0,279.0,326.0,333.0,337.0,341.0
Elm,5,57.0,77.0,86.0,101.0,106.0,108.0,109.0,110.0
Embedded Crystal,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Erlang,12,16.0,66.0,96.0,146.0,350.0,448.0,497.0,546.0
Expect,14,26.0,260.0,437.0,491.0,511.0,519.0,523.0,527.0
F#,48,13.0,29.0,80.0,144.0,153.0,317.0,620.0,2114.0
F# Script,1,65.0,65.0,65.0,65.0,65.0,65.0,65.0,65.0
FXML,1,27.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
Fennel,2,226.0,242.0,258.0,267.0,270.0,272.0,272.0,273.0
Fish Shell,1459,6.0,17.0,40.0,91.0,157.0,226.0,280.0,527.0
Flatbuffers,33,16.0,88.0,195.0,771.0,854.0,874.0,951.0,1028.0
Forth,27,4.0,17.0,51.0,111.0,153.0,237.0,322.0,407.0
Fortran 77,9,15.0,165.0,323.0,999.0,1158.0,1221.0,1253.0,1285.0
Fortran 90,6,27.0,97.0,257.0,321.0,327.0,329.0,330.0,331.0
Freemarker Template,451,39.0,197.0,357.0,466.0,472.0,624.0,664.0,765.0
Futhark,1,48.0,48.0,48.0,48.0,48.0,48.0,48.0,48.0
GDScript,712,4.0,6.0,12.0,27.0,42.0,61.0,72.0,111.0
GLSL,801,13.0,26.0,53.0,126.0,202.0,279.0,404.0,591.0
Gencat NLS,7,93.0,140.0,215.0,534.0,769.0,863.0,910.0,957.0
Glade,2,582.0,589.0,596.0,601.0,602.0,603.0,603.0,603.0
Gleam,2,46.0,46.0,46.0,46.0,46.0,46.0,46.0,46.0
Go,60070,25.0,70.0,188.0,442.0,736.0,1028.0,1402.0,2014.0
Godot Resource,1,124.0,124.0,124.0,124.0,124.0,124.0,124.0,124.0
Godot Scene,3,12.0,12.0,71.0,106.0,118.0,122.0,125.0,127.0
Gradle,4162,11.0,19.0,36.0,67.0,102.0,139.0,183.0,272.0
Grails,4,9.0,10.0,11.0,13.0,14.0,14.0,14.0,14.0
GraphQL,1200,6.0,10.0,17.0,33.0,51.0,70.0,83.0,128.0
Groovy,143,10.0,43.0,106.0,201.0,232.0,259.0,364.0,563.0
HCL,1451,5.0,8.0,13.0,23.0,32.0,39.0,44.0,59.0
HLSL,33,14.0,20.0,61.0,87.0,167.0,255.0,321.0,388.0
HTML,15944,8.0,30.0,98.0,247.0,410.0,579.0,688.0,996.0
HTML EEx,1,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
Haml,2073,6.0,12.0,24.0,43.0,59.0,71.0,80.0,105.0
Handlebars,1010,7.0,20.0,48.0,102.0,163.0,232.0,268.0,385.0
Hare,3,98.0,159.0,176.0,187.0,190.0,191.0,192.0,193.0
Haskell,11,14.0,34.0,53.0,66.0,72.0,74.0,75.0,76.0
HolyC,5,19.0,53.0,56.0,244.0,307.0,332.0,344.0,357.0
Hoon,2,740.0,1113.0,1486.0,1710.0,1785.0,1815.0,1830.0,1845.0
IDL,680,9.0,14.0,31.0,84.0,229.0,480.0,643.0,1120.0
INI,2937,6.0,14.0,34.0,82.0,254.0,1262.0,1342.0,1418.0
Idris,1,31.0,31.0,31.0,31.0,31.0,31.0,31.0,31.0
Igor Pro,3,20.0,26.0,89.0,127.0,140.0,145.0,147.0,150.0
Imba,1,83.0,83.0,83.0,83.0,83.0,83.0,83.0,83.0
JCL,3,7.0,8.0,9.0,9.0,9.0,9.0,9.0,9.0
JSON,58790,13.0,38.0,102.0,418.0,913.0,1549.0,2265.0,4651.0
JSON5,472,14.0,18.0,31.0,50.0,62.0,74.0,84.0,91.0
JSP,10,8.0,11.0,14.0,152.0,154.0,154.0,155.0,155.0
JSX,848,9.0,23.0,64.0,165.0,275.0,351.0,426.0,498.0
Jam,7,150.0,153.0,160.0,190.0,212.0,220.0,225.0,229.0
Java,102655,21.0,50.0,117.0,260.0,421.0,572.0,717.0,1050.0
JavaScript,157710,6.0,12.0,37.0,123.0,249.0,401.0,551.0,959.0
Jinja Template,8,9.0,18.0,30.0,35.0,36.0,37.0,37.0,37.0
Julia,4,24.0,34.0,44.0,44.0,44.0,44.0,44.0,44.0
Jupyter Notebook,1291,17.0,35.0,76.0,128.0,181.0,210.0,270.0,319.0
Korn Shell,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Kotlin,74911,8.0,17.0,44.0,110.0,186.0,261.0,334.0,491.0
LESS,546,14.0,41.0,105.0,243.0,416.0,524.0,745.0,981.0
LFE,4,58.0,65.0,72.0,76.0,77.0,78.0,78.0,78.0
LLVM IR,22,12.0,22.0,33.0,211.0,312.0,318.0,318.0,319.0
Lean,5,26.0,37.0,48.0,52.0,53.0,54.0,54.0,54.0
Linker Script,25,8.0,11.0,44.0,74.0,87.0,89.0,90.0,91.0
Lisp,33,6.0,44.0,145.0,305.0,353.0,397.0,432.0,467.0
Logos,17,22.0,33.0,129.0,227.0,272.0,302.0,318.0,333.0
Logtalk,1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Lua,682,40.0,120.0,187.0,317.0,435.0,703.0,798.0,1035.0
MATLAB,79,8.0,18.0,37.0,91.0,113.0,161.0,201.0,362.0
MSBuild script,7237,11.0,12.0,18.0,42.0,68.0,99.0,136.0,222.0
MUMPS,24,22.0,58.0,224.0,947.0,1465.0,1695.0,1836.0,1977.0
Mako,4,32.0,37.0,44.0,47.0,48.0,49.0,49.0,49.0
Markdown,48808,15.0,39.0,100.0,231.0,383.0,537.0,735.0,1229.0
Mathematica,10,2.0,8.0,24.0,67.0,142.0,172.0,187.0,202.0
Maven,990,23.0,40.0,68.0,126.0,221.0,318.0,439.0,597.0
Mercury,9,26.0,83.0,3219.0,3631.0,3957.0,4087.0,4152.0,4217.0
Meson,66,10.0,19.0,55.0,159.0,291.0,1121.0,1394.0,1540.0
Metal,43,29.0,65.0,239.0,678.0,5200.0,5229.0,5554.0,6380.0
Modula3,5,82.0,109.0,658.0,778.0,818.0,834.0,842.0,850.0
Mojo,3,19.0,23.0,34.0,41.0,43.0,44.0,45.0,45.0
Mustache,57,5.0,10.0,28.0,43.0,72.0,112.0,161.0,203.0
NAnt script,9,18.0,39.0,148.0,201.0,284.0,318.0,334.0,351.0
Nemerle,2,75.0,142.0,209.0,249.0,262.0,267.0,270.0,273.0
NetLogo,1,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
Nim,9,17.0,30.0,63.0,260.0,347.0,383.0,400.0,418.0
Nix,57,13.0,23.0,50.0,84.0,128.0,181.0,186.0,194.0
Nunjucks,3,21.0,39.0,48.0,53.0,55.0,55.0,56.0,56.0
OCaml,12,33.0,57.0,361.0,1081.0,1494.0,1673.0,1762.0,1851.0
Objective-C,14542,11.0,11.0,26.0,158.0,316.0,498.0,688.0,1070.0
Objective-C++,1119,44.0,99.0,240.0,482.0,744.0,1014.0,1332.0,1768.0
Odin,2,1622.0,1914.0,2206.0,2382.0,2440.0,2463.0,2475.0,2487.0
OpenCL,136,59.0,114.0,248.0,452.0,622.0,940.0,1050.0,1418.0
OpenSCAD,2,3.0,5.0,7.0,9.0,9.0,9.0,9.0,9.0
Oracle PL/SQL,2,12.0,14.0,16.0,18.0,18.0,18.0,18.0,18.0
P4,2,78.0,135.0,193.0,227.0,239.0,244.0,246.0,248.0
PHP,57004,17.0,32.0,71.0,164.0,299.0,450.0,629.0,977.0
PO File,1680,37.0,170.0,564.0,4405.0,44797.0,45203.0,45203.0,46015.0
Pascal,263,4.0,34.0,116.0,292.0,488.0,572.0,706.0,1664.0
Perl,1665,15.0,91.0,395.0,1264.0,2846.0,27774.0,27893.0,27998.0
Pest,2,17.0,17.0,17.0,17.0,17.0,17.0,17.0,17.0
Pig Latin,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
PlantUML,23,17.0,28.0,40.0,48.0,70.0,262.0,384.0,506.0
Pony,6,22.0,61.0,120.0,165.0,185.0,193.0,197.0,201.0
PowerBuilder,8,18.0,48.0,350.0,466.0,509.0,526.0,535.0,544.0
PowerShell,1256,18.0,48.0,131.0,293.0,429.0,626.0,762.0,1244.0
ProGuard,140,1.0,6.0,13.0,34.0,45.0,112.0,167.0,236.0
Prolog,14,9.0,17.0,43.0,154.0,378.0,531.0,608.0,685.0
Properties,2745,3.0,6.0,22.0,116.0,238.0,397.0,790.0,1005.0
Protocol Buffers,1424,11.0,22.0,60.0,140.0,247.0,391.0,476.0,818.0
Pug,74,9.0,22.0,54.0,120.0,164.0,199.0,243.0,308.0
Puppet,28,10.0,21.0,32.0,63.0,72.0,118.0,181.0,244.0
PureScript,6,58.0,69.0,85.0,90.0,90.0,90.0,90.0,90.0
Python,55753,22.0,65.0,164.0,385.0,664.0,930.0,1148.0,1657.0
QML,56,41.0,71.0,200.0,605.0,805.0,1015.0,1092.0,1169.0
Qt,100,109.0,166.0,342.0,711.0,1256.0,1824.0,1885.0,2357.0
Qt Linguist,132,882.0,2524.0,4546.0,5034.0,5066.0,5111.0,5111.0,5128.0
Qt Project,4,7.0,10.0,14.0,17.0,18.0,18.0,18.0,18.0
R,23,19.0,63.0,99.0,141.0,154.0,165.0,171.0,177.0
RAML,1,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
Racket,4,23.0,31.0,39.0,43.0,44.0,45.0,45.0,45.0
Raku,6,18.0,18.0,94.0,142.0,154.0,159.0,161.0,163.0
Razor,1390,4.0,11.0,28.0,58.0,82.0,105.0,124.0,169.0
ReScript,3,17.0,26.0,314.0,487.0,545.0,568.0,579.0,591.0
ReasonML,28,2.0,30.0,315.0,839.0,1109.0,1344.0,1565.0,1786.0
Rexx,4,81.0,101.0,123.0,144.0,151.0,154.0,156.0,157.0
Ring,4,38.0,99.0,198.0,266.0,289.0,298.0,302.0,307.0
Rmd,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RobotFramework,5,26.0,29.0,30.0,33.0,34.0,34.0,34.0,34.0
Ruby,85296,16.0,33.0,73.0,157.0,249.0,346.0,446.0,662.0
Ruby HTML,23,12.0,15.0,34.0,62.0,67.0,109.0,135.0,162.0
Rust,48601,9.0,23.0,98.0,296.0,526.0,737.0,931.0,1403.0
SAS,6,16.0,49.0,123.0,188.0,212.0,222.0,227.0,232.0
SCSS,2620,10.0,32.0,83.0,183.0,323.0,408.0,575.0,806.0
SKILL,5391,36.0,113.0,1051.0,4200.0,4997.0,5499.0,5764.0,6764.0
SQL,7954,4.0,11.0,26.0,56.0,93.0,125.0,174.0,308.0
SVG,24526,1.0,1.0,3.0,12.0,48.0,93.0,161.0,374.0
SWIG,9,16.0,100.0,113.0,213.0,394.0,467.0,503.0,539.0
SaltStack,8,8.0,8.0,43.0,47.0,47.0,47.0,47.0,47.0
Sass,21,2.0,2.0,3.0,9.0,60.0,60.0,60.0,60.0
Scala,489,55.0,131.0,306.0,759.0,1272.0,1602.0,2138.0,3222.0
Scheme,781,6.0,17.0,52.0,131.0,189.0,219.0,242.0,291.0
Slice,4,86.0,167.0,236.0,242.0,244.0,244.0,245.0,245.0
Slim,15,2.0,2.0,6.0,17.0,20.0,23.0,24.0,25.0
Smalltalk,44,38.0,98.0,240.0,296.0,312.0,316.0,375.0,551.0
Smarty,2,129.0,229.0,330.0,390.0,410.0,418.0,422.0,426.0
Solidity,11,2.0,18.0,177.0,502.0,2722.0,3610.0,4055.0,4499.0
SparForte,1,986.0,986.0,986.0,986.0,986.0,986.0,986.0,986.0
Specman e,12,53.0,111.0,254.0,360.0,397.0,412.0,419.0,426.0
Squirrel,1,43.0,43.0,43.0,43.0,43.0,43.0,43.0,43.0
Standard ML,12,1.0,20.0,38.0,182.0,736.0,1000.0,1132.0,1265.0
Starlark,2359,15.0,27.0,51.0,109.0,185.0,305.0,417.0,699.0
Stata,7,2.0,4.0,10.0,224.0,382.0,446.0,477.0,509.0
Stylus,16,2.0,5.0,37.0,51.0,51.0,51.0,51.0,51.0
SugarSS,4,3.0,5.0,7.0,7.0,7.0,7.0,7.0,7.0
Svelte,3407,5.0,8.0,12.0,20.0,26.0,35.0,46.0,70.0
Swift,27544,5.0,16.0,54.0,148.0,256.0,372.0,489.0,672.0
TNSDL,13,11.0,68.0,85.0,961.0,1173.0,1174.0,1174.0,1174.0
TOML,4750,5.0,8.0,21.0,48.0,89.0,126.0,154.0,242.0
TableGen,161,19.0,72.0,192.0,439.0,743.0,1714.0,2046.0,3662.0
Tcl/Tk,257,45.0,117.0,280.0,614.0,884.0,1055.0,1141.0,1503.0
TeX,91,47.0,69.0,511.0,1222.0,1465.0,1619.0,1706.0,1969.0
Text,49069,6.0,16.0,41.0,132.0,274.0,451.0,666.0,1429.0
Thrift,2,69.0,134.0,199.0,238.0,251.0,257.0,259.0,262.0
Twig,635,10.0,29.0,58.0,147.0,221.0,283.0,325.0,501.0
TypeScript,89805,8.0,23.0,75.0,194.0,334.0,475.0,617.0,913.0
Typst,188,23.0,55.0,114.0,226.0,278.0,318.0,340.0,441.0
Umka,2,12.0,23.0,34.0,41.0,43.0,44.0,45.0,45.0
Unity-Prefab,108,80.0,152.0,659.0,2728.0,4515.0,4871.0,5309.0,5597.0
VB for Applications,3,118.0,168.0,182.0,190.0,193.0,194.0,194.0,195.0
VHDL,1,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Velocity Template Language,25,15.0,36.0,52.0,74.0,102.0,116.0,124.0,132.0
Verilog-SystemVerilog,38,10.0,33.0,75.0,124.0,163.0,177.0,193.0,213.0
Visual Basic,48,18.0,51.0,156.0,324.0,440.0,494.0,509.0,511.0
Visual Basic .NET,3765,32.0,89.0,302.0,945.0,1907.0,2906.0,3852.0,6084.0
Visual Basic Script,6,7.0,12.0,45.0,78.0,90.0,95.0,97.0,99.0
Visual Studio Solution,441,29.0,120.0,221.0,586.0,814.0,1090.0,1255.0,1729.0
Vuejs Component,6736,40.0,78.0,145.0,255.0,353.0,435.0,510.0,649.0
WGSL,134,18.0,44.0,103.0,170.0,287.0,429.0,489.0,609.0
WXSS,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Web Services Description,98,47.0,63.0,132.0,318.0,543.0,603.0,694.0,861.0
WebAssembly,54,6.0,8.0,15.0,33.0,110.0,183.0,207.0,217.0
WiX include,9,13.0,17.0,36.0,54.0,54.0,54.0,54.0,54.0
WiX source,121,22.0,37.0,63.0,149.0,297.0,408.0,490.0,514.0
WiX string localization,59,38.0,53.0,64.0,71.0,71.0,71.0,71.0,89.0
Windows Message File,8,24.0,77.0,170.0,78775.0,170460.0,207134.0,225471.0,243808.0
Windows Module Definition,908,6.0,6.0,29.0,120.0,288.0,497.0,1011.0,1503.0
Windows Resource File,268,16.0,38.0,69.0,69.0,125.0,249.0,289.0,486.0
XAML,2776,18.0,38.0,87.0,208.0,340.0,541.0,853.0,1351.0
XHTML,12,8.0,14.0,20.0,71.0,402.0,561.0,640.0,720.0
XML,30663,10.0,29.0,85.0,217.0,481.0,857.0,1394.0,4134.0
XQuery,1,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0
XSD,395,12.0,20.0,108.0,330.0,712.0,1307.0,1685.0,1888.0
XSLT,332,8.0,12.0,22.0,36.0,57.0,121.0,237.0,409.0
Xtend,23,10.0,55.0,175.0,193.0,256.0,527.0,697.0,868.0
YAML,36487,12.0,25.0,69.0,178.0,335.0,563.0,900.0,1838.0
Zig,6,42.0,52.0,68.0,78.0,82.0,83.0,84.0,85.0
awk,31,19.0,56.0,92.0,222.0,288.0,344.0,354.0,364.0
builder,3,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
dhall,2,95.0,148.0,201.0,233.0,244.0,248.0,250.0,252.0
diff,8903,13.0,26.0,64.0,177.0,359.0,588.0,957.0,1948.0
dtrace,3,25.0,30.0,93.0,130.0,143.0,148.0,150.0,153.0
kvlang,1,86.0,86.0,86.0,86.0,86.0,86.0,86.0,86.0
lex,26,125.0,161.0,381.0,540.0,965.0,1427.0,1772.0,2117.0
liquid,24,5.0,6.0,17.0,37.0,75.0,84.0,86.0,88.0
m4,270,24.0,52.0,147.0,700.0,1441.0,1829.0,4237.0,6008.0
make,4993,4.0,10.0,32.0,84.0,161.0,237.0,326.0,550.0
peg.js,1,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0
peggy,1,156.0,156.0,156.0,156.0,156.0,156.0,156.0,156.0
reStructuredText,5729,17.0,57.0,151.0,332.0,519.0,701.0,851.0,1208.0
sed,13,5.0,7.0,53.0,200.0,213.0,215.0,216.0,217.0
vim script,25,2.0,27.0,95.0,414.0,630.0,739.0,804.0,869.0
xBase,2,171.0,223.0,276.0,307.0,318.0,322.0,324.0,326.0
xBase Header,2,10.0,15.0,20.0,23.0,24.0,24.0,24.0,24.0
yacc,33,309.0,590.0,1352.0,1735.0,8013.0,13920.0,14400.0,14879.0
zsh,34,9.0,36.0,182.0,238.0,278.0,331.0,530.0,729.0
