,url,main language,stars,owner,project
29,https://github.com/kingToolbox/WindTerm,C,20.8k,kingToolbox,WindTerm
30,https://github.com/nginx/nginx,C,20.4k,nginx,nginx
31,https://github.com/microsoft/PowerToys,C#,105k,microsoft,PowerToys
32,https://github.com/2dust/v2rayN,C#,62k,2dust,v2rayN
33,https://github.com/shadowsocks/shadowsocks-windows,C#,58k,shadowsocks,shadowsocks-windows
34,https://github.com/PowerShell/PowerShell,C#,43.5k,PowerShell,PowerShell
35,https://github.com/dotnet/aspnetcore,C#,34.5k,dotnet,aspnetcore
36,https://github.com/Ryujinx/Ryujinx,C#,32.6k,Ryujinx,Ryujinx
37,https://github.com/files-community/Files,C#,32.2k,files-community,Files
38,https://github.com/jellyfin/jellyfin,C#,30.5k,jellyfin,jellyfin
39,https://github.com/ShareX/ShareX,C#,27.9k,ShareX,ShareX
40,https://github.com/huiyadanli/RevokeMsgPatcher,C#,26.5k,huiyadanli,RevokeMsgPatcher
41,https://github.com/dnSpy/dnSpy,C#,25.6k,dnSpy,dnSpy
42,https://github.com/dotnet-architecture/eShopOnContainers,C#,24.6k,dotnet-architecture,eShopOnContainers
43,https://github.com/AvaloniaUI/Avalonia,C#,24k,AvaloniaUI,Avalonia
44,https://github.com/DevToys-app/DevToys,C#,23.7k,DevToys-app,DevToys
45,https://github.com/CodeHubApp/CodeHub,C#,22.9k,CodeHubApp,CodeHub
46,https://github.com/mxgmn/WaveFunctionCollapse,C#,22.8k,mxgmn,WaveFunctionCollapse
47,https://github.com/NickeManarin/ScreenToGif,C#,22.8k,NickeManarin,ScreenToGif
48,https://github.com/dotnet/maui,C#,21.6k,dotnet,maui
49,https://github.com/icsharpcode/ILSpy,C#,20.4k,icsharpcode,ILSpy
50,https://github.com/leiurayer/downkyi,C#,19.3k,leiurayer,downkyi
51,https://github.com/dotnet/roslyn,C#,18.6k,dotnet,roslyn
52,https://github.com/microsoft/semantic-kernel,C#,18.5k,microsoft,semantic-kernel
53,https://github.com/BeyondDimension/SteamTools,C#,18.4k,BeyondDimension,SteamTools
54,https://github.com/DapperLib/Dapper,C#,17.2k,DapperLib,Dapper
55,https://github.com/Unity-Technologies/ml-agents,C#,16.4k,Unity-Technologies,ml-agents
56,https://github.com/QL-Win/QuickLook,C#,16.3k,QL-Win,QuickLook
57,https://github.com/netchx/netch,C#,16k,netchx,netch
58,https://github.com/ppy/osu,C#,14.4k,ppy,osu
59,https://github.com/dotnet/runtime,C#,14.2k,dotnet,runtime
60,https://github.com/OpenRA/OpenRA,C#,14.2k,OpenRA,OpenRA
61,https://github.com/tensorflow/tensorflow,C++,183k,tensorflow,tensorflow
62,https://github.com/facebook/react-native,C++,116k,facebook,react-native
63,https://github.com/electron/electron,C++,112k,electron,electron
64,https://github.com/microsoft/terminal,C++,93.7k,microsoft,terminal
65,https://github.com/godotengine/godot,C++,84.5k,godotengine,godot
66,https://github.com/bitcoin/bitcoin,C++,76.4k,bitcoin,bitcoin
67,https://github.com/opencv/opencv,C++,75.9k,opencv,opencv
68,https://github.com/apple/swift,C++,66.1k,apple,swift
69,https://github.com/nomic-ai/gpt4all,C++,65.1k,nomic-ai,gpt4all
70,https://github.com/protocolbuffers/protobuf,C++,63.8k,protocolbuffers,protobuf
71,https://github.com/tesseract-ocr/tesseract,C++,58.5k,tesseract-ocr,tesseract
72,https://github.com/ggerganov/llama.cpp,C++,58.3k,ggerganov,llama.cpp
73,https://github.com/ocornut/imgui,C++,56.3k,ocornut,imgui
74,https://github.com/topjohnwu/Magisk,C++,44.6k,topjohnwu,Magisk
75,https://github.com/x64dbg/x64dbg,C++,43.3k,x64dbg,x64dbg
76,https://github.com/grpc/grpc,C++,40.9k,grpc,grpc
77,https://github.com/nlohmann/json,C++,40.6k,nlohmann,json
78,https://github.com/google/leveldb,C++,35.2k,google,leveldb
79,https://github.com/ClickHouse/ClickHouse,C++,34.6k,ClickHouse,ClickHouse
80,https://github.com/BVLC/caffe,C++,33.9k,BVLC,caffe
81,https://github.com/aria2/aria2,C++,33.7k,aria2,aria2
82,https://github.com/google/googletest,C++,33.2k,google,googletest
83,https://github.com/WerWolv/ImHex,C++,33.2k,WerWolv,ImHex
84,https://github.com/carbon-language/carbon-lang,C++,32.3k,carbon-language,carbon-lang
85,https://github.com/CMU-Perceptual-Computing-Lab/openpose,C++,30k,CMU-Perceptual-Computing-Lab,openpose
86,https://github.com/ariya/phantomjs,C++,29.4k,ariya,phantomjs
87,https://github.com/microsoft/calculator,C++,29k,microsoft,calculator
88,https://github.com/SerenityOS/serenity,C++,29k,SerenityOS,serenity
89,https://github.com/facebookresearch/faiss,C++,28.5k,facebookresearch,faiss
90,https://github.com/facebook/rocksdb,C++,27.5k,facebook,rocksdb
91,https://github.com/flutter/flutter,Dart,162k,flutter,flutter
92,https://github.com/AppFlowy-IO/AppFlowy,Dart,49.3k,AppFlowy-IO,AppFlowy
93,https://github.com/localsend/localsend,Dart,35.8k,localsend,localsend
94,https://github.com/KRTirtho/spotube,Dart,24.8k,KRTirtho,spotube
95,https://github.com/alibaba/flutter-go,Dart,23.6k,alibaba,flutter-go
96,https://github.com/flutter/plugins,Dart,17.3k,flutter,plugins
97,https://github.com/ReVanced/revanced-manager,Dart,15.9k,ReVanced,revanced-manager
98,https://github.com/CarGuo/gsy_github_app_flutter,Dart,14.6k,CarGuo,gsy_github_app_flutter
99,https://github.com/GopeedLab/gopeed,Dart,14.2k,GopeedLab,gopeed
100,https://github.com/cfug/dio,Dart,12.2k,cfug,dio
101,https://github.com/felangel/bloc,Dart,11.4k,felangel,bloc
102,https://github.com/hiddify/hiddify-next,Dart,10k,hiddify,hiddify-next
103,https://github.com/jonataslaw/getx,Dart,9.9k,jonataslaw,getx
104,https://github.com/dart-lang/sdk,Dart,9.8k,dart-lang,sdk
105,https://github.com/flame-engine/flame,Dart,8.8k,flame-engine,flame
106,https://github.com/kaina404/FlutterDouBan,Dart,8.6k,kaina404,FlutterDouBan
107,https://github.com/firebase/flutterfire,Dart,8.4k,firebase,flutterfire
108,https://github.com/ente-io/ente,Dart,7.7k,ente-io,ente
109,https://github.com/alibaba/fish-redux,Dart,7.3k,alibaba,fish-redux
110,https://github.com/OpenFlutter/Flutter-Notebook,Dart,7.2k,OpenFlutter,Flutter-Notebook
111,https://github.com/alibaba/flutter_boost,Dart,6.8k,alibaba,flutter_boost
112,https://github.com/Notsfsssf/pixez-flutter,Dart,6.6k,Notsfsssf,pixez-flutter
113,https://github.com/2d-inc/HistoryOfEverything,Dart,6.4k,2d-inc,HistoryOfEverything
114,https://github.com/imaNNeo/fl_chart,Dart,6.4k,imaNNeo,fl_chart
115,https://github.com/abuanwar072/Flutter-Responsive-Admin-Panel-or-Dashboard,Dart,6.4k,abuanwar072,Flutter-Responsive-Admin-Panel-or-Dashboard
116,https://github.com/ImranR98/Obtainium,Dart,5.3k,ImranR98,Obtainium
117,https://github.com/wanghongenpin/network_proxy_flutter,Dart,4.9k,wanghongenpin,network_proxy_flutter
118,https://github.com/mulaRahul/keyviz,Dart,4.6k,mulaRahul,keyviz
119,https://github.com/guozhigq/pilipala,Dart,4.5k,guozhigq,pilipala
120,https://github.com/ionicfirebaseapp/getwidget,Dart,4.4k,ionicfirebaseapp,getwidget
121,https://github.com/elixir-lang/elixir,Elixir,23.4k,elixir-lang,elixir
122,https://github.com/phoenixframework/phoenix,Elixir,20.7,phoenixframework,phoenix
123,https://github.com/plausible/analytics,Elixir,18.6k,plausible,analytics
124,https://github.com/supabase/realtime,Elixir,6.5k,supabase,realtime
125,https://github.com/firezone/firezone,Elixir,6.3k,firezone,firezone
126,https://github.com/elixir-ecto/ecto,Elixir,6k,elixir-ecto,ecto
127,https://github.com/phoenixframework/phoenix_live_view,Elixir,5.8k,phoenixframework,phoenix_live_view
128,https://github.com/papercups-io/papercups,Elixir,5.6k,papercups-io,papercups
129,https://github.com/teslamate-org/teslamate,Elixir,5.3k,teslamate-org,teslamate
130,https://github.com/electric-sql/electric,Elixir,5k,electric-sql,electric
131,https://github.com/rrrene/credo,Elixir,4.9k,rrrene,credo
132,https://github.com/absinthe-graphql/absinthe,Elixir,4.2k,absinthe-graphql,absinthe
133,https://github.com/ueberauth/guardian,Elixir,3.4k,ueberauth,guardian
134,https://github.com/blockscout/blockscout,Elixir,3.2k,blockscout,blockscout
135,https://github.com/sorentwo/oban,Elixir,3.1k,sorentwo,oban
136,https://github.com/sergiotapia/magnetissimo,Elixir,3k,sergiotapia,magnetissimo
137,https://github.com/elixir-plug/plug,Elixir,2.8k,elixir-plug,plug
138,https://github.com/elixir-nx/nx,Elixir,2.5k,elixir-nx,nx
139,https://github.com/dashbitco/broadway,Elixir,2.3k,dashbitco,broadway
140,https://github.com/quantum-elixir/quantum-core,Elixir,2.3k,quantum-elixir,quantum-core
141,https://github.com/asciinema/asciinema-server,Elixir,2.2k,asciinema,asciinema-server
142,https://github.com/edgurgel/httpoison,Elixir,2.2k,edgurgel,httpoison
143,https://github.com/devinus/poison,Elixir,2k,devinus,poison
144,https://github.com/surface-ui/surface,Elixir,2k,surface-ui,surface
145,https://github.com/philss/floki,Elixir,2k,philss,floki
146,https://github.com/elixir-tesla/tesla,Elixir,2k,elixir-tesla,tesla
147,https://github.com/phoenixframework/phoenix_live_dashboard,Elixir,1.9k,phoenixframework,phoenix_live_dashboard
148,https://github.com/ScenicFramework/scenic,Elixir,1.9k,ScenicFramework,scenic
149,https://github.com/beam-community/bamboo,Elixir,1.9k,beam-community,bamboo
150,https://github.com/beam-community/ex_machina,Elixir,1.9k,beam-community,ex_machina
151,https://github.com/golang/go,Go,120k,golang,go
152,https://github.com/kubernetes/kubernetes,Go,107k,kubernetes,kubernetes
153,https://github.com/fatedier/frp,Go,80.5k,fatedier,frp
154,https://github.com/gin-gonic/gin,Go,75.8k,gin-gonic,gin
155,https://github.com/gohugoio/hugo,Go,72.8k,gohugoio,hugo
156,https://github.com/moby/moby,Go,67.8k,moby,moby
157,https://github.com/ollama/ollama,Go,67.1k,ollama,ollama
158,https://github.com/junegunn/fzf,Go,60.3k,junegunn,fzf
159,https://github.com/syncthing/syncthing,Go,59.9k,syncthing,syncthing
160,https://github.com/caddyserver/caddy,Go,54.3k,caddyserver,caddy
161,https://github.com/prometheus/prometheus,Go,53.1k,prometheus,prometheus
162,https://github.com/nektos/act,Go,50.8k,nektos,act
163,https://github.com/traefik/traefik,Go,48.3,traefik,traefik
164,https://github.com/etcd-io/etcd,Go,46.5k,etcd-io,etcd
165,https://github.com/ethereum/go-ethereum,Go,46.3k,ethereum,go-ethereum
166,https://github.com/jesseduffield/lazygit,Go,46.2k,jesseduffield,lazygit
167,https://github.com/FiloSottile/mkcert,Go,46k,FiloSottile,mkcert
168,https://github.com/v2ray/v2ray-core,Go,44.8k,v2ray,v2ray-core
169,https://github.com/minio/minio,Go,44.5k,minio,minio
170,https://github.com/gogs/gogs,Go,44.3k,gogs,gogs
171,https://github.com/rclone/rclone,Go,44.1k,rclone,rclone
172,https://github.com/wagoodman/dive,Go,43.9k,wagoodman,dive
173,https://github.com/go-gitea/gitea,Go,42.3k,go-gitea,gitea
174,https://github.com/hashicorp/terraform,Go,41.3k,hashicorp,terraform
175,https://github.com/evanw/esbuild,Go,37.4,evanw,esbuild
176,https://github.com/pingcap/tidb,Go,36.3k,pingcap,tidb
177,https://github.com/spf13/cobra,Go,36.2k,spf13,cobra
178,https://github.com/go-gorm/gorm,Go,35.6k,go-gorm,gorm
179,https://github.com/cli/cli,Go,35.6k,cli,cli
180,https://github.com/istio/istio,Go,35.1k,istio,istio
181,https://github.com/koalaman/shellcheck,Haskell,35.1k,koalaman,shellcheck
182,https://github.com/jgm/pandoc,Haskell,32.6k,jgm,pandoc
183,https://github.com/PostgREST/postgrest,Haskell,22.4k,PostgREST,postgrest
184,https://github.com/hadolint/hadolint,Haskell,9.8k,hadolint,hadolint
185,https://github.com/purescript/purescript,Haskell,8.5k,purescript,purescript
186,https://github.com/elm/compiler,Haskell,7.5k,elm,compiler
187,https://github.com/unisonweb/unison,Haskell,5.6k,unisonweb,unison
188,https://github.com/carp-lang/Carp,Haskell,5.4k,carp-lang,Carp
189,https://github.com/simplex-chat/simplex-chat,Haskell,5.4k,simplex-chat,simplex-chat
190,https://github.com/digitallyinduced/ihp,Haskell,4.2k,digitallyinduced,ihp
191,https://github.com/facebook/Haxl,Haskell,4.2k,facebook,Haxl
192,https://github.com/system-f/fp-course,Haskell,4.1k,system-f,fp-course
193,https://github.com/facebook/duckling,Haskell,4k,facebook,duckling
194,https://github.com/commercialhaskell/stack,Haskell,3.9k,commercialhaskell,stack
195,https://github.com/input-output-hk/cardano-sl,Haskell,3.8k,input-output-hk,cardano-sl
196,https://github.com/kmonad/kmonad,Haskell,3.6k,kmonad,kmonad
197,https://github.com/idris-lang/Idris-dev,Haskell,3.4k,idris-lang,Idris-dev
198,https://github.com/xmonad/xmonad,Haskell,3.3k,xmonad,xmonad
199,https://github.com/koka-lang/koka,Haskell,3.1k,koka-lang,koka
200,https://github.com/IntersectMBO/cardano-node,Haskell,3k,IntersectMBO,cardano-node
201,https://github.com/ghc/ghc,Haskell,3k,ghc,ghc
202,https://github.com/SimulaVR/Simula,Haskell,2.9k,SimulaVR,Simula
203,https://github.com/simonmichael/hledger,Haskell,2.8k,simonmichael,hledger
204,https://github.com/yesodweb/yesod,Haskell,2.6k,yesodweb,yesod
205,https://github.com/ghcjs/ghcjs,Haskell,2.6k,ghcjs,ghcjs
206,https://github.com/typelead/eta,Haskell,2.6k,typelead,eta
207,https://github.com/wireapp/wire-server,Haskell,2.6k,wireapp,wire-server
208,https://github.com/haskell/haskell-language-server,Haskell,2.6k,haskell,haskell-language-server
209,https://github.com/agda/agda,Haskell,2.4k,agda,agda
210,https://github.com/haskell/haskell-ide-engine,Haskell,2.4k,haskell,haskell-ide-engine
211,https://github.com/spring-projects/spring-boot,Java,73.1k,spring-projects,spring-boot
212,https://github.com/elastic/elasticsearch,Java,68.1k,elastic,elasticsearch
213,https://github.com/spring-projects/spring-framework,Java,55.3k,spring-projects,spring-framework
214,https://github.com/google/guava,Java,49.5k,google,guava
215,https://github.com/NationalSecurityAgency/ghidra,Java,48.1k,NationalSecurityAgency,ghidra
216,https://github.com/ReactiveX/RxJava,Java,47.7k,ReactiveX,RxJava
217,https://github.com/apache/dubbo,Java,40.1k,apache,dubbo
218,https://github.com/jeecgboot/jeecg-boot,Java,38k,jeecgboot,jeecg-boot
219,https://github.com/dbeaver/dbeaver,Java,37.7k,dbeaver,dbeaver
220,https://github.com/PhilJay/MPAndroidChart,Java,37.3k,PhilJay,MPAndroidChart
221,https://github.com/alibaba/arthas,Java,34.8k,alibaba,arthas
222,https://github.com/airbnb/lottie-android,Java,34.7k,airbnb,lottie-android
223,https://github.com/bumptech/glide,Java,34.4k,bumptech,glide
224,https://github.com/netty/netty,Java,32.9k,netty,netty
225,https://github.com/zxing/zxing,Java,32.3k,zxing,zxing
226,https://github.com/termux/termux-app,Java,31.5k,termux,termux-app
227,https://github.com/alibaba/easyexcel,Java,31.1k,alibaba,easyexcel
228,https://github.com/SeleniumHQ/selenium,Java,29.4k,SeleniumHQ,selenium
229,https://github.com/alibaba/nacos,Java,29.2k,alibaba,nacos
230,https://github.com/TeamNewPipe/NewPipe,Java,28.9k,TeamNewPipe,NewPipe
231,https://github.com/apolloconfig/apollo,Java,28.8k,apolloconfig,apollo
232,https://github.com/alibaba/druid,Java,27.7k,alibaba,druid
233,https://github.com/apache/kafka,Java,27.5k,apache,kafka
234,https://github.com/alibaba/spring-cloud-alibaba,Java,27.4k,alibaba,spring-cloud-alibaba
235,https://github.com/lenve/vhr,Java,27k,lenve,vhr
236,https://github.com/Stirling-Tools/Stirling-PDF,Java,27k,Stirling-Tools,Stirling-PDF
237,https://github.com/xuxueli/xxl-job,Java,26.7k,xuxueli,xxl-job
238,https://github.com/qiurunze123/miaosha,Java,26.1k,qiurunze123,miaosha
239,https://github.com/alibaba/fastjson,Java,25.6k,alibaba,fastjson
240,https://github.com/signalapp/Signal-Android,Java,25k,signalapp,Signal-Android
241,https://github.com/facebook/react,Javascript,223k,facebook,react
242,https://github.com/twbs/bootstrap,Javascript,168k,twbs,bootstrap
243,https://github.com/Significant-Gravitas/AutoGPT,Javascript,162k,Significant-Gravitas,AutoGPT
244,https://github.com/vercel/next.js,Javascript,121k,vercel,next.js
245,https://github.com/nodejs/node,Javascript,104k,nodejs,node
246,https://github.com/axios/axios,Javascript,104k,axios,axios
247,https://github.com/facebook/create-react-app,Javascript,102k,facebook,create-react-app
248,https://github.com/mrdoob/three.js,Javascript,99.4k,mrdoob,three.js
249,https://github.com/sveltejs/svelte,Javascript,76.8k,sveltejs,svelte
250,https://github.com/mermaid-js/mermaid,Javascript,67.6k,mermaid-js,mermaid
251,https://github.com/hakimel/reveal.js,Javascript,67k,hakimel,reveal.js
252,https://github.com/anuraghazra/github-readme-stats,Javascript,65.4k,anuraghazra,github-readme-stats
253,https://github.com/webpack/webpack,Javascript,64.2k,webpack,webpack
254,https://github.com/chartjs/Chart.js,Javascript,63.6k,chartjs,Chart.js
255,https://github.com/resume/resume.github.com,Javascript,61.5k,resume,resume.github.com
256,https://github.com/atom/atom,Javascript,60k,atom,atom
257,https://github.com/lodash/lodash,Javascript,59k,lodash,lodash
258,https://github.com/jquery/jquery,Javascript,58.9k,jquery,jquery
259,https://github.com/angular/angular.js,Javascript,58.9k,angular,angular.js
260,https://github.com/gatsbyjs/gatsby,Javascript,55.1k,gatsbyjs,gatsby
261,https://github.com/Semantic-Org/Semantic-UI,Javascript,51k,Semantic-Org,Semantic-UI
262,https://github.com/louislam/uptime-kuma,Javascript,50.5k,louislam,uptime-kuma
263,https://github.com/juliangarnier/anime,Javascript,48.8k,juliangarnier,anime
264,https://github.com/prettier/prettier,Javascript,48.4k,prettier,prettier
265,https://github.com/moment/moment,Javascript,47.8k,moment,moment
266,https://github.com/jgraph/drawio-desktop,Javascript,47.1k,jgraph,drawio-desktop
267,https://github.com/iamadamdev/bypass-paywalls-chrome,Javascript,47k,iamadamdev,bypass-paywalls-chrome
268,https://github.com/mozilla/pdf.js,Javascript,46.5k,mozilla,pdf.js
269,https://github.com/algorithm-visualizer/algorithm-visualizer,Javascript,46.3k,algorithm-visualizer,algorithm-visualizer
270,https://github.com/cypress-io/cypress,Javascript,46.2k,cypress-io,cypress
271,https://github.com/JetBrains/kotlin,Kotlin,47.7k,JetBrains,kotlin
272,https://github.com/square/okhttp,Kotlin,45.3k,square,okhttp
273,https://github.com/bannedbook/fanqiang,Kotlin,37.1k,bannedbook,fanqiang
274,https://github.com/shadowsocks/shadowsocks-android,Kotlin,34.7k,shadowsocks,shadowsocks-android
275,https://github.com/2dust/v2rayNG,Kotlin,31k,2dust,v2rayNG
276,https://github.com/alibaba/p3c,Kotlin,30.1k,alibaba,p3c
277,https://github.com/square/leakcanary,Kotlin,29.2k,square,leakcanary
278,https://github.com/gedoor/legado,Kotlin,24.4k,gedoor,legado
279,https://github.com/CymChad/BaseRecyclerViewAdapterHelper,Kotlin,24.1k,CymChad,BaseRecyclerViewAdapterHelper
280,https://github.com/google/iosched,Kotlin,21.8k,google,iosched
281,https://github.com/afollestad/material-dialogs,Kotlin,19.7k,afollestad,material-dialogs
282,https://github.com/square/picasso,Kotlin,18.7k,square,picasso
283,https://github.com/google/flexbox-layout,Kotlin,18.2k,google,flexbox-layout
284,https://github.com/lottie-react-native/lottie-react-native,Kotlin,16.5k,lottie-react-native,lottie-react-native
285,https://github.com/gkd-kit/gkd,Kotlin,16.3k,gkd-kit,gkd
286,https://github.com/Kotlin/anko,Kotlin,15.9k,Kotlin,anko
287,https://github.com/android/nowinandroid,Kotlin,15.5k,android,nowinandroid
288,https://github.com/pppscn/SmsForwarder,Kotlin,15.4k,pppscn,SmsForwarder
289,https://github.com/JetBrains/compose-multiplatform,Kotlin,14.9k,JetBrains,compose-multiplatform
290,https://github.com/mamoe/mirai,Kotlin,14k,mamoe,mirai
291,https://github.com/Kotlin/kotlinx.coroutines,Kotlin,12.8k,Kotlin,kotlinx.coroutines
292,https://github.com/ktorio/ktor,Kotlin,12.3k,ktorio,ktor
293,https://github.com/YiiGuxing/TranslationPlugin,Kotlin,10.9k,YiiGuxing,TranslationPlugin
294,https://github.com/coil-kt/coil,Kotlin,10.3,coil-kt,coil
295,https://github.com/JakeWharton/timber,Kotlin,10.3k,JakeWharton,timber
296,https://github.com/Shabinder/SpotiFlyer,Kotlin,10k,Shabinder,SpotiFlyer
297,https://github.com/square/moshi,Kotlin,9.5k,square,moshi
298,https://github.com/thunderbird/thunderbird-android,Kotlin,9.5k,thunderbird,thunderbird-android
299,https://github.com/MatsuriDayo/NekoBoxForAndroid,Kotlin,9k,MatsuriDayo,NekoBoxForAndroid
300,https://github.com/square/okio,Kotlin,8.7k,square,okio
301,https://github.com/Kong/kong,Lua,37.7k,Kong,kong
302,https://github.com/nagadomi/waifu2x,Lua,27.2k,nagadomi,waifu2x
303,https://github.com/NvChad/NvChad,Lua,23.2k,NvChad,NvChad
304,https://github.com/jcjohnson/neural-style,Lua,18.3k,jcjohnson,neural-style
305,https://github.com/koreader/koreader,Lua,15.4k,koreader,koreader
306,https://github.com/cmusatyalab/openface,Lua,15k,cmusatyalab,openface
307,https://github.com/apache/apisix,Lua,13.8k,apache,apisix
308,https://github.com/junyanz/CycleGAN,Lua,12.2k,junyanz,CycleGAN
309,https://github.com/karpathy/char-rnn,Lua,11.5k,karpathy,char-rnn
310,https://github.com/phillipi/pix2pix,Lua,9.9k,phillipi,pix2pix
311,https://github.com/xmake-io/xmake,Lua,9.3k,xmake-io,xmake
312,https://github.com/iDvel/rime-ice,Lua,7.5k,iDvel,rime-ice
313,https://github.com/rxi/lite,Lua,7.3k,rxi,lite
314,https://github.com/docker/dockercraft,Lua,7.1k,docker,dockercraft
315,https://github.com/xiaorouji/openwrt-passwall,Lua,6.5k,xiaorouji,openwrt-passwall
316,https://github.com/awesomeWM/awesome,Lua,6.1k,awesomeWM,awesome
317,https://github.com/ntop/ntopng,Lua,6k,ntop,ntopng
318,https://github.com/alexazhou/VeryNginx,Lua,5.9k,alexazhou,VeryNginx
319,https://github.com/lsyncd/lsyncd,Lua,5.6k,lsyncd,lsyncd
320,https://github.com/liuzhuang13/DenseNet,Lua,4.7k,liuzhuang13,DenseNet
321,https://github.com/lite-xl/lite-xl,Lua,4.4k,lite-xl,lite-xl
322,https://github.com/jcjohnson/fast-neural-style,Lua,4.3k,jcjohnson,fast-neural-style
323,https://github.com/CorsixTH/CorsixTH,Lua,3.9k,CorsixTH,CorsixTH
324,https://github.com/loveshell/ngx_lua_waf,Lua,3.9k,loveshell,ngx_lua_waf
325,https://github.com/luvit/luvit,Lua,3.8k,luvit,luvit
326,https://github.com/facebookresearch/fairseq-lua,Lua,3.7k,facebookresearch,fairseq-lua
327,https://github.com/ejoy/ant,Lua,3.6k,ejoy,ant
328,https://github.com/PathOfBuildingCommunity/PathOfBuilding,Lua,3.6k,PathOfBuildingCommunity,PathOfBuilding
329,https://github.com/scipag/vulscan,Lua,3.3k,scipag,vulscan
330,https://github.com/tarantool/tarantool,Lua,3.3k,tarantool,tarantool
331,https://github.com/AFNetworking/AFNetworking,Objective-C,33.3k,AFNetworking,AFNetworking
332,https://github.com/SDWebImage/SDWebImage,Objective-C,24.9k,SDWebImage,SDWebImage
333,https://github.com/MustangYM/WeChatExtension-ForMac,Objective-C,22.1k,MustangYM,WeChatExtension-ForMac
334,https://github.com/BradLarson/GPUImage,Objective-C,20.2k,BradLarson,GPUImage
335,https://github.com/SnapKit/Masonry,Objective-C,18k,SnapKit,Masonry
336,https://github.com/opa334/TrollStore,Objective-C,16.4k,opa334,TrollStore
337,https://github.com/realm/realm-swift,Objective-C,16.2k,realm,realm-swift
338,https://github.com/jdg/MBProgressHUD,Objective-C,16k,jdg,MBProgressHUD
339,https://github.com/react-native-maps/react-native-maps,Objective-C,14.8k,react-native-maps,react-native-maps
340,https://github.com/gnachman/iTerm2,Objective-C,14.6k,gnachman,iTerm2
341,https://github.com/marcuswestin/WebViewJavascriptBridge,Objective-C,14.3k,marcuswestin,WebViewJavascriptBridge
342,https://github.com/TKkk-iOSer/WeChatPlugin-MacOS,Objective-C,14k,TKkk-iOSer,WeChatPlugin-MacOS
343,https://github.com/FLEXTool/FLEX,Objective-C,13.9k,FLEXTool,FLEX
344,https://github.com/ccgus/fmdb,Objective-C,13.8k,ccgus,fmdb
345,https://github.com/CoderMJLee/MJRefresh,Objective-C,13.8k,CoderMJLee,MJRefresh
346,https://github.com/eczarny/spectacle,Objective-C,13.6k,eczarny,spectacle
347,https://github.com/CocoaLumberjack/CocoaLumberjack,Objective-C,13.1k,CocoaLumberjack,CocoaLumberjack
348,https://github.com/Instagram/IGListKit,Objective-C,12.8k,Instagram,IGListKit
349,https://github.com/vicc/chameleon,Objective-C,12.5k,vicc,chameleon
350,https://github.com/robbiehanson/CocoaAsyncSocket,Objective-C,12.4k,robbiehanson,CocoaAsyncSocket
351,https://github.com/SVProgressHUD/SVProgressHUD,Objective-C,12.4k,SVProgressHUD,SVProgressHUD
352,https://github.com/dzenbot/DZNEmptyDataSet,Objective-C,12.1k,dzenbot,DZNEmptyDataSet
353,https://github.com/nicklockwood/iCarousel,Objective-C,12k,nicklockwood,iCarousel
354,https://github.com/keycastr/keycastr,Objective-C,12k,keycastr,keycastr
355,https://github.com/Hammerspoon/hammerspoon,Objective-C,11.5k,Hammerspoon,hammerspoon
356,https://github.com/git-up/GitUp,Objective-C,11.4k,git-up,GitUp
357,https://github.com/bang590/JSPatch,Objective-C,11.4k,bang590,JSPatch
